App,Developer,Type,Rates,Downloads+,Last_reviews,Last_reviews_eng
Always Positive - Daily Motivational Quotes,VizNext,Estilo de vida,4.6,100000,"Pagué para no ver publicidad de ningún tipo y sigue apareciendo ""Recommended app"", es muy molesto.","I paid not to see advertising of any kind and ""Recommended app"" keeps appearing, it is very annoying."
Always Positive - Daily Motivational Quotes,VizNext,Estilo de vida,4.6,100000,Good,Good
Always Positive - Daily Motivational Quotes,VizNext,Estilo de vida,4.6,100000,Nice,Nice
Always Positive - Daily Motivational Quotes,VizNext,Estilo de vida,4.6,100000,Happy thought,Happy thought
Amazing Psychology Facts,GV Apps,Libros y obras de consulta,4.3,1000000,"La verdad, si es muy buena la app, pero la verdad es que me gustaría que estuviera en español, es que siempre se me traba al traducir y molesta mucho, así que si pueden tener la traducción en español sería genial.","The truth, if the app is very good, but the truth is that I would like it to be in Spanish, it is that I always get stuck translating and it bothers me a lot, so if you can have the Spanish translation it would be great."
Amazing Psychology Facts,GV Apps,Libros y obras de consulta,4.3,1000000,Datos interesantes y curiosos. Me agrada la app,Interesting and curious facts. I like the app
Amazing Psychology Facts,GV Apps,Libros y obras de consulta,4.3,1000000,Es buena. Lastima que no este en español,It is good. Too bad it's not in Spanish
Amazing Psychology Facts,GV Apps,Libros y obras de consulta,4.3,1000000,Es breve y concisa,It is short and concise
Ansiedad y estrés,Metta Apps,Salud y bienestar,4.0,100000,"Una app de mucha ayuda, aunque no puedo escuchar los audios en android 4 ni 5 tras las ultimas actualizaciones.","A very helpful app, although I can't hear the audios on android 4 or 5 after the last updates."
Ansiedad y estrés,Metta Apps,Salud y bienestar,4.0,100000,"No se escuchan los audios, no me cargan porque será???","The audios are not heard, they do not load me because it will be ???"
Ansiedad y estrés,Metta Apps,Salud y bienestar,4.0,100000,Tiene técnicas y consejos muy buenos <3,He has very good techniques and advice <3
Ansiedad y estrés,Metta Apps,Salud y bienestar,4.0,100000,Los audios no los abre. Podrian arreilarlo porf.Grasias.,The audios do not open them. I could fix it please. Thanks.
Anxiety Tracker - Stress and Anxiety Log,Appstronaut Studios,Salud y bienestar,4.3,10000,Util y sencilla.,Useful and simple.
Arráncalo: Pelos y emociones,Feeling Game Company,Preguntas y respuestas,4.7,100000,"El juego es genial, lo recomiendo, si que los gráficos son simples y sencillos, pero a pesar de eso la idea del juego me parece original que es lo que importa. Aparte de que no hay anuncios, y eso la verdad está muy bien. Para las personas que ponen una estrella porque no pueden arrancar el primer pelo quizás es porque lo hacéis solo con un dedo (a mi me pasó, pero luego me fijé bien y no hay que hacerlo así), tenéis que pellizcarlos con dos dedos y tirais despacio, no es tan difícil.","The game is great, I recommend it, if the graphics are simple and straightforward, but despite that the idea of ​​the game seems original to me, which is what matters. Other than that there are no ads, and that's really fine. For people who put a star because they cannot pluck the first hair, perhaps it is because you do it with just one finger (it happened to me, but then I looked closely and it should not be done that way), you have to pinch them with two fingers and pull slowly, it's not that difficult."
Arráncalo: Pelos y emociones,Feeling Game Company,Preguntas y respuestas,4.7,100000,"Creo que es un juego muy entretenido. No tiene anuncios y es gratis los gráficos son buenos 👌 La app es sencilla La recomiendo mucho No entiendo porque algunos se quejan si no tiene anuncios (y por otros juegos que si lo tienen se quejan, decidanse ✌) Quizá para algunos es aburrido pero este juego es como Anti-estres. Felicidades a los creadores👌🙆❤ Más juegos como este.","I think it is a very entertaining game. It has no ads and it is free, the graphics are good 👌 The app is simple I highly recommend it I do not understand why some complain if it does not have ads (and for other games that do, they complain, decide ✌) Maybe for some it is boring but this game is like Anti-stress. Congratulations to the creators👌🙆❤ More games like this."
Arráncalo: Pelos y emociones,Feeling Game Company,Preguntas y respuestas,4.7,100000,"Lo ame, muy bueno que no le hayan puesto anuncios la verdad me suelen estresar cuando juego y me salen. Vengo de la parte donde dice pasión ame esa parte y como no puedo darles platas vengo a dejar mi reseña, es muy buena la aplicación, un momento para sentir varias emociones es divertido, me la pase muy bien sigan asi, los graficos estan muy bien al igual que la explicacion, 10/10 usenlo!!","I loved it, very good that they have not placed ads, the truth tends to stress me out when I play and they come out. I come from the part where it says passion, love that part and since I can not give you money I come to leave my review, the application is very good, a moment to feel various emotions is fun, I had a great time, continue like this, the graphics are very good like the explanation, 10/10 use it !!"
Arráncalo: Pelos y emociones,Feeling Game Company,Preguntas y respuestas,4.7,100000,"Esto es una obra de arte hermosa, no dura mucho pero es un viaje que te hace sentir tantas cosas!!! Eso sí hay que estar dispuestos a sentirlas... me hizo llorar, reír, enojar y sentir tantas cosas. Gracias (recomendación juegenlo en un lugar donde no reciban interrupciones y en un lugar privado)","This is a beautiful work of art, it does not last long but it is a trip that makes you feel so many things !!! Of course, you have to be willing to feel them ... it made me cry, laugh, get angry and feel so many things. Thank you (recommendation, play it in a place where there are no interruptions and in a private place)"
Avocation - Hábitos diarios,David Jöch,Estilo de vida,4.4,100000,"Es facil de usar y esta bien. Estaría bien que un hábito pudiera hacerse a la mitad o un poco, porque tienes que hacerlo todo completo cuando lo tocas.","It is easy to use and is fine. It would be nice if a habit could be done half or a little, because you have to do it all when you touch it."
Avocation - Hábitos diarios,David Jöch,Estilo de vida,4.4,100000,"La verdad muy fácil de usar, y estética, yo sé que tiene que tener su paga pero la verdad no tengo método de pago ya que soy menor, y me gustaría tener más habitos","The truth is very easy to use, and aesthetics, I know that you have to have your pay but the truth is that I have no payment method since I am a minor, and I would like to have more habits"
Avocation - Hábitos diarios,David Jöch,Estilo de vida,4.4,100000,"🌼}Realmente está buena, pero solo si la usas paga ya que tienes cierta cantidad de recordatorios y si por ejemplo ya terminaste cierta tarea hay algunas que no te deja que toques que ya está lista, es como que se bloquea, estaría bueno que todo esto este sin ser pago ya que es algo muy necesario para la app y con esto pago van a tener más desinstalaciones ya que no todos pagan, también estaría bueno que agregaran alarma para que avise que tienes una tarea. Gracias por leer","🌼} It is really good, but only if you use it it pays since you have a certain amount of reminders and if for example you already finished a certain task there are some that do not let you touch that it is ready, it is like it is blocked, it would be good that everything This is without payment since it is something very necessary for the app and with this payment they will have more uninstalls since not everyone pays, it would also be good if they added an alarm to notify you that you have a task. Thank you for reading"
Avocation - Hábitos diarios,David Jöch,Estilo de vida,4.4,100000,"Me encanta esta aplicación. La compartí con mis estudiantes para un proyecto de mejora de hábitos y fue excelente el resultado, además después de terminar el proyecto muchos aún la conservan para continuar mejorando. Los felicito grandemente","I love this app. I shared it with my students for a habit improvement project and the result was excellent, and after finishing the project many still keep it to continue improving. I congratulate you greatly"
Bearable - Symptoms & Mood tracker (BETA),Bearable Ltd,Salud y bienestar,4.8,10000,I can't put in words how much I love this app The only suggestion i can make is to make customizable the hours in the time lapses (pre-am-mid-pm),I can't put in words how much I love this app The only suggestion i can make is to make customizable the hours in the time lapses (pre-am-mid-pm)
Bearable - Symptoms & Mood tracker (BETA),Bearable Ltd,Salud y bienestar,4.8,10000,"This Is the best app to track my mood I used so far, Its reallt Easy to use and adds a lot of info from the day in a single page","This Is the best app to track my mood I used so far, It's really Easy to use and adds a lot of info from the day in a single page"
BetterHelp: Online Counseling & Therapy,BetterHelp - Therapy Made Easy,Salud y bienestar,4.5,500000,Buen servicio y ayuda en tiempos de alto estrés.,Good service and help in times of high stress.
BetterHelp: Online Counseling & Therapy,BetterHelp - Therapy Made Easy,Salud y bienestar,4.5,500000,Falso! Hay que pagar casi $50 por semana.,False! You have to pay almost $ 50 a week.
BetterHelp: Online Counseling & Therapy,BetterHelp - Therapy Made Easy,Salud y bienestar,4.5,500000,Muy buena. Sugiero un precio más asequible.,Very good. I suggest a more affordable price.
BetterHelp: Online Counseling & Therapy,BetterHelp - Therapy Made Easy,Salud y bienestar,4.5,500000,Es una estafa.,Is a gotcha.
Bipolar Test,MoodTools,Salud y bienestar,3.1,10000,No esta en español :(,Not in Spanish :(
Bipolar Test,MoodTools,Salud y bienestar,3.1,10000,No esta en español y en ingles es muy dificil responder el test no me gusta :'(,It is not in Spanish and English it is very difficult to answer the test I do not like: '(
Bipolar Test,MoodTools,Salud y bienestar,3.1,10000,Caca,Pooh
Booster Buddy,Island Health,Salud y bienestar,4.3,100000,"Preciosa, aunque echo en falta mi idioma","Beautiful, although I miss my language"
Booster Buddy,Island Health,Salud y bienestar,4.3,100000,Es una aplicación hecha por profesionales que te ayuda a enfocar tu energía en cosas positivas. Me gustó mucho :),It is an application made by professionals that helps you focus your energy on positive things. I loved it :)
Booster Buddy,Island Health,Salud y bienestar,4.3,100000,Tiene un muy lindo diseño y está hecha muy bien😍😘,It has a very nice design and is very well made😍😘
Booster Buddy,Island Health,Salud y bienestar,4.3,100000,¡Es muy buena! Sin embargo me gustaría que tuviera la opción de hacer una cuenta o algo parecido para almacenar tus datos y no perder tu progreso.,It's very good! However I would like you to have the option to create an account or something similar to store your data and not lose your progress.
Calm Harm - manages self harm,stem4,Salud y bienestar,4.3,100000,"es útil, me ayudó en varias ocasiones, pero le pongo 3 estrellas porque solo viene en inglés, y yo lo entiendo, pero la gente que no habla el idioma y le podria ser útil no puede usarla","It is useful, it helped me several times, but I give it 3 stars because it only comes in English, and I understand it, but people who do not speak the language and could be useful cannot use it"
Calm Harm - manages self harm,stem4,Salud y bienestar,4.3,100000,"Si me ayudo algunas veces, pero comenzo a trabarse y cada vez que la instalo no me deja avanzar. Tiene muy buenos remedios, pero deberias revisarla.","Yes, it did help me a few times, but it started to get stuck and every time I install it it won't let me move forward. It has very good remedies, but you should review it."
Calm Harm - manages self harm,stem4,Salud y bienestar,4.3,100000,Le faltan más opciones de idioma pero es muy útil,It lacks more language options but it is very useful
Calm Harm - manages self harm,stem4,Salud y bienestar,4.3,100000,"muy buena, pero seria mejor en español","very good, but it would be better in Spanish"
Chiku - Your personal diary and mood tracker,Chiku.app,Salud y bienestar,4.6,5000,"La aplicación es excelente, todos los días te motiva con una cita nueva y con retos sencillos pero que realmente hacen la diferencia en tu vida 😊. La interfaz es bellísima y la aplicación en sí es preciosa y me está ayudando mucho.😄 Muchas gracias por arreglar el pequeño fallo, ahora funciona perfectamente ⭐⭐⭐⭐⭐","The application is excellent, every day it motivates you with a new date and with simple challenges but that really make a difference in your life 😊. The interface is beautiful and the application itself is beautiful and is helping me a lot. 😄 Thank you very much for fixing the small bug, now it works perfectly ⭐⭐⭐⭐⭐"
Chiku - Your personal diary and mood tracker,Chiku.app,Salud y bienestar,4.6,5000,"Me gusta la aplicacio, le doy 3 estrellas porque no esta totalmente en español los retos y las preguntas están en inglés y no siempre tengo el tiempo de hacer la traducción, y por eso el día de hoy no las hice, cuando arreglen eso les doy las 5 estrellas","I like the application, I give it 3 stars because the challenges and the questions are not entirely in Spanish and they are in English and I don't always have the time to do the translation, and that's why I didn't do them today, when they fix that I give them the 5 stars"
Chiku - Your personal diary and mood tracker,Chiku.app,Salud y bienestar,4.6,5000,Muy bonita app me gusto mucho el diseño y gracias por corregir el problema de las imágenes en los pdf. 😊,Very nice app I really liked the design and thanks for correcting the problem of the images in the pdf. 😊
Chiku - Your personal diary and mood tracker,Chiku.app,Salud y bienestar,4.6,5000,Es malo no se puede entrar mejorenlo porfas se ve muy bueno <:c,"It is bad, you cannot enter, please, it looks very good <: c"
Cíngulo: Terapia Guiada,Cíngulo,Salud y bienestar,4.9,1000000,"Muy buena app, aunque le falta la traducción ya que a muchas palabras no les entiendo","Very good app, although the translation is missing since many words do not understand them"
Cíngulo: Terapia Guiada,Cíngulo,Salud y bienestar,4.9,1000000,La primera autoevaluación estuvo bien atinada. Me parece un tipo de aplicación necesaria.,The first self-evaluation was well thought out. It seems to me a kind of necessary application.
Cíngulo: Terapia Guiada,Cíngulo,Salud y bienestar,4.9,1000000,De momento estoy subiendo mi grado de autoestima y bajando el nivel de ansiedad. Estoy muy contenta con la app.,At the moment I am raising my degree of self-esteem and lowering the level of anxiety. I am very happy with the app.
Cíngulo: Terapia Guiada,Cíngulo,Salud y bienestar,4.9,1000000,"Que lindooo. Lastima que no tenga traduccion! No puedo usarla, sovre todo porque son audios. Espero tener acceso algun dia!","So nice. Too bad it doesn't have a translation! I can't use it, I use it all because they are audio. I hope to have access someday!"
CogniFit Ejercicio Cerebral,CogniFit Inc,Salud y bienestar,4.4,100000,"Parece muy completa en los informes que proporciona. Creo que no debería tomarse a la ligera, parece más una herramienta de seguimiento y tratamiento para uso profesional que para el público en general, donde la mayoría no tenemos ni repajolera idea de la jerga neuropsicológica que emplean. Por otro lado me parece excesivamente caro el precio por una sola evaluación y de un solo uso que se genera automáticamente según resultados y que no es fiable al 100%. puede mejorar.","It seems very complete in the reports it provides. I think it should not be taken lightly, it seems more like a follow-up and treatment tool for professional use than for the general public, where most of us have no idea of ​​the neuropsychological jargon they use. On the other hand, I find the price for a single evaluation and one-time use that is generated automatically according to results and that is not 100% reliable, excessively expensive. it can be better."
CogniFit Ejercicio Cerebral,CogniFit Inc,Salud y bienestar,4.4,100000,"Muy bueno, aún estoy usando la versión gratis, no me gustan mucho las suscripciones, preferiría un pago único.","Very good, I'm still using the free version, I don't really like subscriptions, I would prefer a one-time payment."
CogniFit Ejercicio Cerebral,CogniFit Inc,Salud y bienestar,4.4,100000,"Es una buena herramienta para ejercitar el cerebro. Tiene un excelente soporte, responden rápidamente cuando se presentan problemas.","It is a good tool to exercise the brain. It has excellent support, they respond quickly when problems arise."
CogniFit Ejercicio Cerebral,CogniFit Inc,Salud y bienestar,4.4,100000,"Me parece una buena app, pero en mi celular Samsung galaxy j2 prime, no me funciona bien, se sale en medio de un ejercicio y tengo que comenzarlo denuevo","I find it a good app, but on my Samsung galaxy j2 prime cell phone, it doesn't work well for me, it comes out in the middle of an exercise and I have to start it again"
Conceptos en Psicología,AppsStar,Libros y obras de consulta,4.5,10000,Me la instalé y no habré la app... estuve intentando todo un día y nada,I installed it and it doesn't open the app ... I was trying a whole day and nothing
Conceptos en Psicología,AppsStar,Libros y obras de consulta,4.5,10000,Es demasiado buena aunque a mi no me sale depresión,"It is too good, although I don't get depression"
Conceptos en Psicología,AppsStar,Libros y obras de consulta,4.5,10000,Excelente,Excellent
Conceptos en Psicología,AppsStar,Libros y obras de consulta,4.5,10000,Muy bueno,Very good
"Deepstash - Self Improvement, Motivation & Care",Deepstash,Educación,4.8,1000000,"Geniales guías, tips, consejos y frases motivadoras y muy útiles. Agradecería que tenga una actualización en inglés. Una idea que me gustaría darles, agreguen una sección para seguimiento de una idea/hábito que uno quiere implementar día a día o x tiempo. Tengo guardado varias ideas, pero se me acumulan y nos las implementó. Me gusta que agreguen esa opción.","Great guides, tips, advice and motivating phrases and very useful. I would appreciate having an update in English. An idea that I would like to give you, add a section to follow up on an idea / habit that one wants to implement day by day or x time. I have saved several ideas, but they accumulate and we implemented them. I like that they add that option."
"Deepstash - Self Improvement, Motivation & Care",Deepstash,Educación,4.8,1000000,"Demasiado útil. Aunque se agradecería que hubiese una aplicación general también para iPad OS para que se aprovechase la pantalla en ese dispositivo, al igual que una versión en español, aunque eso no es realidad un problema por el momento. Desde su salida en beta he estado observando la aplicación, y he de decir que cada vez mejora más.","Too useful. Although it would be appreciated if there were a general application also for iPad OS to take advantage of the screen on that device, as well as a Spanish version, although that is not a problem at the moment. Since its beta release I have been observing the application, and I have to say that it improves more and more."
"Deepstash - Self Improvement, Motivation & Care",Deepstash,Educación,4.8,1000000,"Llevo pocos días usando la app pero me ha gustado mucho. Me gusta que tiene los conceptos bien aterrizados y resumidos y en pocos minutos tienes aprendizajes, consejos y tips que te ayudan en el día a día.","I have been using the app for a few days but I really liked it. I like that it has the concepts well grounded and summarized and in a few minutes you have learnings, advice and tips that help you in your day to day."
"Deepstash - Self Improvement, Motivation & Care",Deepstash,Educación,4.8,1000000,"Buena aplicación, pero generalmente los artículos de repiten o son pocos","Good application, but generally the articles are repeated or are few"
Depression Cure Music,Sajan Jossan,Salud y bienestar,4.6,50000,Muy buena aplicación incomparable,Very good incomparable application
Depression Cure Music,Sajan Jossan,Salud y bienestar,4.6,50000,"Nice app , but the timer is alittle confusing and would be great if you could add nature sounds","Nice app , but the timer is alittle confusing and would be great if you could add nature sounds"
Depression Cure Music,Sajan Jossan,Salud y bienestar,4.6,50000,"Me gustó, variado","I liked it, varied"
Depression Cure Music,Sajan Jossan,Salud y bienestar,4.6,50000,Ayuda mucho :),It helps a lot :)
Depression: The Game,LUXO,Puzzles,3.4,10000,Pocos niveles pero lo describe a la perfección,Few levels but describes it perfectly
Depression: The Game,LUXO,Puzzles,3.4,10000,Muy realista y fuerte a la vez. Felicito a los creadores ♥️,Very realistic and strong at the same time. I congratulate the creators ♥ ️
Depression: The Game,LUXO,Puzzles,3.4,10000,Expresa perfectamente la depresión,Perfectly expresses depression
Depression: The Game,LUXO,Puzzles,3.4,10000,"Excelente, quiero mas niveles :(","Excellent, I want more levels :("
desordenes mentales,Helpful Books,Libros y obras de consulta,4.3,100000,"Excelente trabajo, muy completo y se Puede compartir con redes sociales. Gracias.","Excellent work, very complete and can be shared with social networks. Thank you."
desordenes mentales,Helpful Books,Libros y obras de consulta,4.3,100000,"Me gustó bastante, más que nada porque los tengo en un solo sitio","I really liked it, more than anything because I have them in one place"
desordenes mentales,Helpful Books,Libros y obras de consulta,4.3,100000,Una guía muy buena,A very good guide
desordenes mentales,Helpful Books,Libros y obras de consulta,4.3,100000,No le pongo 5 porque debería de haber opciones para quitar esos molestos anuncios porque está bien una versión gratuita con anuncios y otra con pago módico sin anuncios porque es muy invasivo eso y desconcentra demasiado.,I do not put 5 because there should be options to remove those annoying ads because a free version with ads and another with a modest payment without ads is fine because it is very invasive and it is too deconcentrated.
Diario - Monitor de ánimo,Habitics,Estilo de vida,4.6,10000000,"Llevo más de 2 años usando esta app, me gusta mucho, pero justo cuando finalmente ahorré el dinero suficiente para una compra única, empiezan a cobrar una suscripción mensual DEMASIADO CARA. Por favor pongan ofertas de compra única, les aseguro que lo pagaría si es un precio razonable, pero su suscripción es demasiado cara y lamentablemente no los puedo apoyar de otro modo.","I have been using this app for more than 2 years, I like it a lot, but just when I finally saved enough money for a single purchase, they start charging a monthly subscription TOO FACE. Please put one-time offers, I assure you that I would pay it if it is a reasonable price, but your subscription is too expensive and unfortunately I cannot support you in any other way."
Diario - Monitor de ánimo,Habitics,Estilo de vida,4.6,10000000,"Esta aplicación me parece tan genial y aunque en su totalidad no sea gratis me parece muy funcional, tristemente estaba esperando a que agregaran el mood de estabilidad, ahora que lo agregaron resulta que es solo premium :( me gustaria que al menos hicieran lo mismo que otras funciones que aunque son limitadas se pueden usar.","This application seems so great to me and although it is not completely free, it seems very functional to me, sadly I was waiting for them to add the stability mood, now that they added it it turns out that it is only premium :( I would like them to at least do the same as other functions that although limited can be used."
Diario - Monitor de ánimo,Habitics,Estilo de vida,4.6,10000000,"Esta muy bien! Lo que me preocupa un poco,es si de repente me da ganas de ponet cosas personales.... Pero me siento segura por que tengo una clabe para que nadie me pueda ver nada. Pero no os aconsejaria poner algo un poco personal,solo cosas que te an pasado a lo largo del dia o cosas que quieras conentar con (Diario) que no creas aue si lo be alguien te cotestara de tal manera","It's very good! What worries me a little, is if I suddenly feel like putting personal things .... But I feel safe because I have a password so that nobody can see me. But I would not advise you to put something a little personal, only things that have happened to you throughout the day or things that you want to contain with (Diary) that you do not believe that if someone drinks it, it will cost you in such a way"
Diario - Monitor de ánimo,Habitics,Estilo de vida,4.6,10000000,"Estaría bien que agregaran la opción de gregar notas como un diario escrito, cuando queramos anotar algo fuera de lo normal o como algo cotidiano y más énfasis en la construcción de hábitos, aprovechando la cuarentena, agregar algo que indique que seguimos en cuarentena.","It would be nice if they added the option to add notes as a written diary, when we want to write something out of the ordinary or as something everyday and more emphasis on habit building, taking advantage of quarantine, add something that indicates that we are still in quarantine."
"Easy Psychiatry : Online Clinic, Affirmations",DR OLUWASEGUN WAHAAB,Salud y bienestar,4.8,5000,"Es una app bastante interesante en el área de la psicología, con contenido de gran ayuda.","It is a very interesting app in the area of ​​psychology, with very helpful content."
"Easy Psychiatry : Online Clinic, Affirmations",DR OLUWASEGUN WAHAAB,Salud y bienestar,4.8,5000,Interesante aplicación. Para los tiempos que estamos viviendo viene fenomenal.,Interesting application. For the times we are living it comes phenomenal.
"Easy Psychiatry : Online Clinic, Affirmations",DR OLUWASEGUN WAHAAB,Salud y bienestar,4.8,5000,Interesante herramienta para chequeo psiquiatrico y seguimiento del estado anímico y otros problemillas.,Interesting tool for psychiatric checkup and monitoring of mood and other problems.
"Easy Psychiatry : Online Clinic, Affirmations",DR OLUWASEGUN WAHAAB,Salud y bienestar,4.8,5000,"Enhorabuena por la aplicación, ayuda mucho a las personas y esta muy bien diseñada y planteada.","Congratulations on the application, it helps people a lot and it is very well designed and planned."
eMoods Bipolar Mood Tracker,eMoods,Salud y bienestar,4.6,100000,"Demasiado buena , lo mas genial es que puedes enviar el reporte final a tus especialistas para que esten al tanto de los ánimos y desibeles .","Too good, the coolest thing is that you can send the final report to your specialists so that they are aware of the spirits and desibeles."
eMoods Bipolar Mood Tracker,eMoods,Salud y bienestar,4.6,100000,"Muy útil til. Eso sí, emplearla en varios dispositivos resulta farragoso. Que se brindara la posibilidad de que los datos se actualizaran automáticamente en varios terminales de forma automática sería fantástico .","Very useful useful. Of course, using it in several devices is cumbersome. To be given the possibility for data to be automatically updated across multiple terminals automatically would be great."
eMoods Bipolar Mood Tracker,eMoods,Salud y bienestar,4.6,100000,Excelente app. Increíblemente útil,Excellent app. Incredibly useful
