,App_name,App_type,App_rate,App_downloads+,App_developer,App_last_update,App_review,App_review_engl,App_review_en_full_rev
12,Moodpath - Depression & Anxiety Test,Medicina,4.6,1000000,MindDoc Health,10 de junio de 2020,Es una buena app para revisar el propio estado de animo y entenderse a sí mismo. Algunas preguntas son repetitivas u ofensivas y no parece que tengan en cuenta cuando uno las reporta como tales. EDIT. Funcona cada vez peor. Pierde entradas y me saltea preguntas aún estando en horario.,It is a good app to check your own mood and understand yourself. Some questions are repetitive or offensive and don't seem to count when you report them as such. EDIT. Funcona getting worse. He loses tickets and skips questions even while on schedule.,It is a good app to check your own mood and understand yourself. Some questions are repetitive or offensive and don't seem to count when you report them as such. EDIT. Funcona getting worse. He loses tickets and skips questions even while on schedule.
13,Lojong: Meditación y Mindfulness -Ansiedad +Sueño,Salud y bienestar,4.9,1000000,Unisollus,26 de mayo de 2020,"¡Perfecta! Realmente puedes acceder a todo el contenido de manera semi-gratis, osea, puedes ver anuncios para entrar a el contenido premium si no quieres pagar. De la docena de aplicaciones sobre meditación que ya había probado está sin duda alguna es la más completa aunque irónicamente decidí descargarla por curiosidad otra vez (no era la primera vez que lo hacía) y darle la oportunidad de meditar con ella todos los días; justo ahora no me podría encontrar más gratificado por ello.","Perfect! You can really access all the content semi-free, that is, you can see ads to enter the premium content if you do not want to pay. Of the dozen applications on meditation that I have already tried, it is undoubtedly the most complete, although ironically I decided to dis ... Full opinion","Perfect! You can really access all the content semi-free, that is, you can see ads to enter the premium content if you do not want to pay. Of the dozen applications on meditation that I have already tried, it is undoubtedly the most complete, although ironically I decided to download it out of curiosity again (it was not the first time that I did it) and give it the opportunity to meditate with it every day; Right now I couldn't find myself more gratified by it."
14,Cíngulo: Terapia Guiada,Salud y bienestar,4.9,1000000,Cíngulo,17 de junio de 2020,La primera autoevaluación estuvo bien atinada. Me parece un tipo de aplicación necesaria.,The first self-evaluation was well thought out. It seems to me a kind of necessary application.,The first self-evaluation was well thought out. It seems to me a kind of necessary application.
15,"Mejor con Salud - Belleza, dieta y bienestar",Salud y bienestar,4.5,100000,Grupo MContigo,13 de junio de 2020,Es excelente. Y ayuda muchisimo a aumentar nuestro conocimiento acerca de las enfermedades en general. Agradecida .,It's excellent. And it helps a lot to increase our knowledge about diseases in general. Grateful.,It's excellent. And it helps a lot to increase our knowledge about diseases in general. Grateful.
16,Ansiedad y estrés,Salud y bienestar,4.0,100000,Metta Apps,2 de mayo de 2020,Los audios no los abre. Podrian arreilarlo porf.Grasias.,The audios do not open them. I could fix it please. Thanks.,The audios do not open them. I could fix it please. Thanks.
17,Medita con Petit BamBou: mindfulness y sueño,Salud y bienestar,4.7,1000000,FeelVeryBien sarl,12 de junio de 2020,"Amo los videos introductorios y reflexivos, me encanta la función sin guía, y el acompañamiento que brindan en el proceso, amaría que la prueba gratuita contara con más videos pues no puedo adquirir los demás beneficios, pero la experiencia ha sido magnífica.","I love the introductory and thoughtful videos, I love the function without a guide, and the accompaniment they provide in the process, I would love for the free trial to have more videos since I cannot acquire the other benefits, but the experience has been magnificent.","I love the introductory and thoughtful videos, I love the function without a guide, and the accompaniment they provide in the process, I would love for the free trial to have more videos since I cannot acquire the other benefits, but the experience has been magnificent."
18,PsicoTests,Medicina,4.6,1000000,Psique Apps,24 de febrero de 2020,"Es una ayuda para tratar de comprender ciertos comportamientos a través de test que estén validados, apenas empecé a usar la aplicación y me ha perecido muy interesante, ya que que hay muchos temas para estudiar y ahondar en el conocimiento tanto para estudiantes como los profesionales de la salud mental. Es un poco incómodo tanta publicidad.","It is an aid to try to understand certain behaviors through tests that are validated, I just started using the application and I found it very interesting, since there are many topics to study and deepen the knowledge for both students and professionals of health m ... Full review","It is an aid to try to understand certain behaviors through tests that are validated, I just started using the application and I found it very interesting, since there are many topics to study and deepen the knowledge for both students and professionals of Mental health. So much publicity is a little awkward."
19,"Música para la meditación, para estrés y ansiedad",Salud y bienestar,4.7,100000,Dream_Studio,28 de marzo de 2020,Buenísimo!!! Me encanta. Tiene todo para programar lo que me gusta,Terrific !!! I love it. It has everything to program what I like,Terrific !!! I love it. It has everything to program what I like
20,Psicologia de la Depresión,Salud y bienestar,4.7,100000,Nice-Apps,30 de marzo de 2020,"Me gustó bastante, dice cosas muy ciertas que yo puedo asegurar, estoy segura de que muchas personas se sintieron identificadas con esto al igual que yo y no es nada fácil aceptar que lo estás viviendo, mucho menos sabiendo que tú familia no le toma importancia porque piensa que estás exagerando. Es maravilloso saber que existen personas como ustedes, gracias y lo voy a compartir, sobre todo con aquellas personas de las que más apoyo necesito.","I liked it a lot, it says very certain things that I can assure, I am sure that many people felt identified with this just like me and it is not easy to accept that you are living it, much less knowing that your family does not take importance because think you're exaggerating. It's ... Full Review","I liked it a lot, it says very certain things that I can assure, I am sure that many people felt identified with this just like me and it is not easy to accept that you are living it, much less knowing that your family does not take importance because think you're exaggerating. It is wonderful to know that there are people like you, thank you and I will share it, especially with those who I need the most support from."
21,Psicología Positiva Fácil,Salud y bienestar,4.1,50000,3Temes Publishers,29 de diciembre de 2014,"Es una aplicación bastante buena, aun así siento que le falta algo, pero muy recomentadable si quieres tener una vida emocional sana.","It is a pretty good app, but I still feel that something is missing, but highly recommended if you want to have a healthy emotional life.","It is quite a good application, even so I feel that something is missing, but highly recommended if you want to have a healthy emotional life."
22,Salud Mental,Salud y bienestar,4.6,50000,Charnan.7,17 de enero de 2019,hermosa app. noble precisa y real. sentí que me estaban ayudando. y que los consejos eran para mi. gracias de todo corazón. 💓,beautiful app. noble accurate and real. I felt they were helping me. and that the advice was for me. thanks with all my heart. 💓,beautiful app. noble accurate and real. I felt they were helping me. and that the advice was for me. thanks with all my heart. 💓
23,Diario de animo y preguntas (anti depresión),Estilo de vida,4.3,500000,Reflexio Team,31 de mayo de 2020,"Me gusta la idea de tomarnos un momento a pensar y analizar nuestras respuestas. Nos ayuda a tomar conciencia. También tiene una opción para poner una nota de lo que quieras del día, lo cual nos ayuda a saber nuestro equilibrio mental a lo largo del tiempo. Me gustaría que tengan más opciones gratis, como poner contraseña pero sacando eso me gusta.","I like the idea of ​​taking a moment to think and analyze our responses. It helps us become aware. It also has an option to put a note of what you want for the day, which helps us to know our mental balance over time. I wish they had more free options ... Full opinion","I like the idea of ​​taking a moment to think and analyze our responses. It helps us become aware. It also has an option to put a note of what you want for the day, which helps us to know our mental balance over time. I would like them to have more free options, like putting a password but taking that out I like it."
24,Siente - Mindfulness y psicología positiva,Salud y bienestar,4.7,100000,Fundación facilisimo,21 de mayo de 2020,Tengo subscripción anual y estoy contenta hubo un problema y me lo solucionaron rapidísimo. La recomiendo!,I have an annual subscription and I'm happy there was a problem and they solved it very quickly. I recommend it!,I have an annual subscription and I am happy there was a problem and it was solved very quickly. I recommend it!
25,PNL práctico,Estilo de vida,4.3,100000,Metta Apps,3 de mayo de 2020,"Maravillosa App!!! Gracias, Gracias, Gracias por compartir tan valioso material🙏 Altamente Recomendable!!! 🙌","Wonderful App !!! Thank you, Thank you, Thank you for sharing such valuable material🙏 Highly Recommended !!! 🙌","Wonderful App !!! Thank you, Thank you, Thank you for sharing such valuable material🙏 Highly Recommended !!! 🙌"
26,Siente - Mindfulness y psicología positiva,Salud y bienestar,4.7,100000,Fundación facilisimo,21 de mayo de 2020,"EXCELENTE. He ido a sesiones de Mindfullness y puedo decir que esta app realmente sirve a su propósito. LAMENTABLEMENTE ME SUSCRIBI POR UN AÑO Y FALTANDO 3 MESES TODO MI PROGRESO SE HA BORRADO Y ESTOY NUEVAMENTE EN LA VERSIÓN GRATUITA. NECESITO AYUDA, POR FAVOR","EXCELLENT. I've been to Mindfullness sessions and I can say that this app really serves its purpose. UNBELIEVABLE I SUBSCRIBED FOR A YEAR AND WITH 3 MONTHS LEFT, ALL MY PROGRESS HAS BEEN DELETED AND I AM AGAIN IN THE FREE VERSION. I NEED HELP PLEASE","EXCELLENT. I have been to Mindfullness sessions and I can say that this app really serves its purpose. UNBELIEVABLE I SUBSCRIBED FOR A YEAR AND WITH 3 MONTHS LEFT, ALL MY PROGRESS HAS BEEN DELETED AND I AM AGAIN IN THE FREE VERSION. I NEED HELP PLEASE"
27,La Mente es Maravillosa - Psicología y relaciones,Noticias y revistas,4.8,100000,Grupo MContigo,13 de junio de 2020,"Es una super aplicación, me encanta el contenido, me ha ayudado a crecer personalmente y las lecturas son muy digeribles. Todo lo que recomiendan me parece super útil. Lo malo es que ya no me llegan notificaciones cuando hay un artículo nuevo","It is a super application, I love the content, it has helped me grow personally and the readings are very digestible. Everything they recommend seems super useful to me. The bad thing is that I no longer get notifications when there is a new article","It is a super application, I love the content, it has helped me grow personally and the readings are very digestible. Everything they recommend seems super useful to me. The bad thing is that I no longer get notifications when there is a new article"
28,Salud Mental,Salud y bienestar,4.6,50000,Charnan.7,17 de enero de 2019,esta app debería estar en todos los celulares de los chilenos... le falta material didáctico pero excelente contenido.,This app should be on all Chilean cell phones ... it lacks educational material but excellent content.,This app should be on all Chilean cell phones ... it lacks educational material but excellent content.
29,Moodpath - Depression & Anxiety Test,Medicina,4.6,1000000,MindDoc Health,10 de junio de 2020,"Ayuda a conocer más tu salud mental. Puedes utilizarlo sin necesidad de tener la versión premium, sus cursos son muy buenos.","It helps to know more about your mental health. You can use it without having the premium version, its courses are very good.","It helps to know more about your mental health. You can use it without having the premium version, its courses are very good."
30,Serenmind: tu app de ayuda psicológica,Salud y bienestar,4.3,5000,Serenmind,16 de junio de 2020,Es una app útil si tienes ansiedad y/o depresión y no quieres o no puedes ir al psicólogo. Fácil de utilizar y con la que se consiguen buenos resultados. El plan de terapia está bien organizado y te permite trabajar un poco cada día sin agobios. Muy recomendable.,It is a useful app if you have anxiety and / or depression and do not want or cannot go to the psychologist. Easy to use and with which good results are achieved. The therapy plan is well organized and allows you to do a little work each day without stress. Highly recommended.,It is a useful app if you have anxiety and / or depression and do not want or cannot go to the psychologist. Easy to use and with which good results are achieved. The therapy plan is well organized and allows you to do a little work each day without stress. Highly recommended.
31,Test de Depresión,Medicina,3.9,100000,MoodTools,18 de abril de 2020,Me siento horible ya que no se instala y tengo mucho almencemaniento me parece muy injusto.....,I feel awful since it does not install and I have a lot of memory it seems very unfair .....,I feel awful since it does not install and I have a lot of memory it seems very unfair .....
32,Test de Depresión,Medicina,3.9,100000,MoodTools,18 de abril de 2020,Saque un 27 savia que esto me ayuria,Take a 27 sap that this helped me,Take a 27 sap that this helped me
33,MoodSpace - Ayuda para el estrés y la ansiedad,Medicina,4.7,100000,Boundless Labs,3 de junio de 2020,"El diseño de la aplicación sale un poco movido(?) pero me ha funcionado excelente y me encanta en general, solo es ese pequeño detallito del diseño.","The design of the application comes out a little shaky (?) But it worked for me and I love it in general, it's just that little detail of the design.","The design of the application comes out a little shaky (?) But it worked for me and I love it in general, it's just that little detail of the design."
34,"Control y Monitor: Ansiedad, Ánimo y Autoestima",Estilo de vida,4.6,1000000,TwoCats App,22 de mayo de 2020,"Una increíble aplicación, es bastante efectiva, te hace razonar sobre tu ánimo, y el precio por el premium es bastante bueno. Solo un pequeño defecto, en las actividades del día sobre el estado del ánimo pongan que se pueda seleccionar más de 1 actividad. Porfa","An incredible application, it is quite effective, it makes you reason about your mood, and the price for the premium is quite good. Only a small flaw, in the day's mood activities put more than 1 activity can be selected. Please","An incredible application, it is quite effective, it makes you reason about your mood, and the price for the premium is quite good. Only a small flaw, in the day's mood activities put more than 1 activity can be selected. Please"
35,"Autoestima, el verdadero amor",Estilo de vida,4.2,100000,Metta Apps,29 de abril de 2020,"La verdad que me ayudó mucho, hay que tener paciencia, pero si tenés autoestima baja te ayuda aunque sea un poco. Se las recomiendo mucho","The truth that helped me a lot, you have to be patient, but if you have low self-esteem it helps you even a little. I highly recommend them","The truth that helped me a lot, you have to be patient, but if you have low self-esteem it helps you even a little. I highly recommend them"
36,Pura Mente: Meditar es simple,Salud y bienestar,4.8,50000,Pura Mente,24 de mayo de 2020,Quedé sorprendida. Es fácil. Y el tiempo de la meditación de 10 min paso rapidísimo cuando quise acordar ya estaba terminando. Me ayudó y lo recomiendo ... La solución está en nosotros. Y la verdad que enseña q la meditación es una herramienta para nuestro estilo de vida. No es religioso ni dogmatica,I was surprised. It is easy. And the time of the 10 min meditation happened very quickly when I wanted to remember it was already ending. It helped me and I recommend it ... The solution is in us. And the truth that meditation teaches is a tool for our lifestyle. It is not religious or dogmatic ... Full opinion,I was surprised. It is easy. And the time of the 10 min meditation happened very quickly when I wanted to remember it was already ending. It helped me and I recommend it ... The solution is in us. And the truth that meditation teaches is a tool for our lifestyle. It is not religious or dogmatic
37,Bambú 🍃 Meditación guiada y sonidos para dormir,Salud y bienestar,4.2,10000,Rocka,1 de junio de 2020,"Muy buena. La guía para aprender a meditar permite escoger el tiempo de la sesión, eso se adapta bien, además el contenido gratuito es bueno. Pienso comprar la versión completa cuando me sea posible.","Very good. The guide to learning to meditate allows you to choose the time of the session, that adapts well, and the free content is good. I plan to purchase the full version whenever possible.","Very good. The guide to learning to meditate allows you to choose the time of the session, that adapts well, and the free content is good. I plan to purchase the full version whenever possible."
38,60 Juegos Mentales: Entrenamiento Cerebral Gratis,Preguntas y respuestas,4.0,5000000,Peoresnada.com,14 de junio de 2020,Excelente juego. Me gustó mucho Solo que no muestra las estadísticas en algunos dispositivos. Tiene alguna solución y puedo recuperarlas de los juegos ya realizados?,Excellent game. I really liked it Just it doesn't show the stats on some devices. Do you have a solution and can I recover them from games already made?,Excellent game. I really liked it Just it doesn't show the stats on some devices. Do you have a solution and can I recover them from games already made?
39,Pixels - Estados de Ánimo y Mindfulness,Estilo de vida,4.7,500000,Teo Vogel,8 de junio de 2020,es perfecta pero le falta la opción de poder guardar otros años en la nube o algo así :( estuve todo 2019 usando la app y en diciembre perdí mi celular. cuando descargue la app en mi teléfono nuevo habia perdido todo :((,It is perfect but it lacks the option of being able to save other years in the cloud or something like that :( I was all 2019 using the app and in December I lost my cell phone. When I downloaded the app on my new phone I had lost everything: ((,It is perfect but it lacks the option of being able to save other years in the cloud or something like that :( I was all 2019 using the app and in December I lost my cell phone. When I downloaded the app on my new phone I had lost everything: ((
40,El Psicólogo,Estilo de vida,4.3,500000,Frenys,19 de mayo de 2017,"Esta re buena.., pero arreglen lo de iniciar sesión.... Gracias!","This re good .., but fix the login .... Thanks!","This re good .., but fix the login .... Thanks!"
41,Lojong: Meditación y Mindfulness -Ansiedad +Sueño,Salud y bienestar,4.9,1000000,Unisollus,26 de mayo de 2020,"Excelente aplicación, me ayudo con mis problemas de ansiedad que en estos dias fueron intensos y aunque apenas la estoy usando me ha funcionando para relajarme, mil gracias, ya que tiene la opcion de si en estos momentos no puedes ser premium, te dan la oportunidad de ver esta sección por medio de anuncios, lo cual ninguna aplicación hace, gracias","Excellent application, it helped me with my anxiety problems that in these days were intense and although I am barely using it, it has worked for me to relax, thank you, since it has the option of whether you cannot be premium right now, they give you the opportunity to see this section through a ... Full opinion","Excellent application, it helped me with my anxiety problems that in these days were intense and although I am hardly using it, it has worked for me to relax, thank you, since it has the option of whether you cannot be premium right now, they give you the opportunity to see this section through ads, which no application does, thanks"
42,desordenes mentales,Libros y obras de consulta,4.3,100000,Helpful Books,17 de septiembre de 2018,Una guía muy buena,A very good guide,A very good guide
43,Lojong: Meditación y Mindfulness -Ansiedad +Sueño,Salud y bienestar,4.9,1000000,Unisollus,26 de mayo de 2020,"La mejor app para meditar, lo que me gustaría que agreguen es cuando estás en una meditación que la barra de volumen que se encuentra en la parte inferior no desaparezca, y otra que al inicio el cuadro grande creo que jala muchos recursos sería mejor quitarla porque a veces no se queda en la sería de meditaciones que estabas realizando , pero excelente app 😁","The best app to meditate on, what I would like you to add is when you are in a meditation so that the volume bar at the bottom does not disappear, and another one that at the beginning the big picture I think pulls many resources would be better to remove it because sometimes it does not stay in the series ... Full opinion","The best app to meditate on, what I would like you to add is when you are in a meditation so that the volume bar at the bottom does not disappear, and another one that at the beginning the big picture I think pulls many resources would be better to remove it because sometimes it does not stay in the series of meditations you were doing, but excellent app 😁"
44,Pura Mente: Meditar es simple,Salud y bienestar,4.8,50000,Pura Mente,24 de mayo de 2020,"Es muy relajante, y en realidad muy sencillo, lo mejor es que tienen voces muy calmadas que te guían pasó a paso.","It is very relaxing, and actually very simple, the best thing is that they have very calm voices that guide you step by step.","It is very relaxing, and actually very simple, the best thing is that they have very calm voices that guide you step by step."
45,La Mente es Maravillosa - Psicología y relaciones,Noticias y revistas,4.8,100000,Grupo MContigo,13 de junio de 2020,Me encanta leer muchisimo los articulos porque me han ayudado bastante a mi en lo personal a salir adelante .,I love reading the articles a lot because they have helped me personally to get ahead.,I love reading the articles a lot because they have helped me personally to get ahead.
46,"Isotonos - Relajación, Meditación, Salud",Salud y bienestar,4.5,100000,ronin2ninja,24 de diciembre de 2019,"La experiencia a sido excepcional. Con todas las opciones que tiene la aplicación, quisiera utilizarlas todas, pero la recomendación seria que cada persona revise sus prioridades. Y en cada opción mantenerla al menos 2 semanas, y en ultima utilizar 2 a la vez, una por la mañana y otra por la noche. La verdad, agradezco a las personas que participarón en poner a nuestra disposición esta aplicación. Gracias","The experience has been exceptional. With all the options that the application has, I would like to use them all, but the recommendation would be that each person review their priorities. And in each option keep it at least 2 weeks, and lastly use 2 at a time, one in the morning and one at night. ... Full opinion","The experience has been exceptional. With all the options that the application has, I would like to use them all, but the recommendation would be that each person review their priorities. And in each option keep it at least 2 weeks, and lastly use 2 at a time, one in the morning and one at night. The truth, I thank the people who participated in making this application available to us. Thank you"
47,Eleva tu Autoestima y Superación Personal,Salud y bienestar,4.7,10000,Recetas Comida Dietas y más Apps gratis ComRecApps,5 de abril de 2020,Excelente aplicacion me gusto mucho el contenido gracias,Excellent application I really liked the content thanks,Excellent application I really liked the content thanks
48,AtentaMente - Meditación y Felicidad,Salud y bienestar,4.4,10000,AtentaMente,29 de mayo de 2020,"Hermosas meditaciones pero la app es PÉSIMA no me carga como 3 secciones, trabajar con emociones, bondad y para tiempos difíciles. Me gustaría comunicarme con alguien porque no puedo acceder a estas meditaciones solo se queda cargando.","Beautiful meditations but the app is LOUSY does not load me like 3 sections, working with emotions, kindness and for difficult times. I would like to communicate with someone because I cannot access these meditations it only remains loading.","Beautiful meditations but the app is LOUSY does not load me like 3 sections, working with emotions, kindness and for difficult times. I would like to communicate with someone because I cannot access these meditations it only remains loading."
49,Desordenes mentales,Educación,4.5,100000,Andrey Borzenko,12 de febrero de 2019,"Es buena la información aunque si claro falta, lo que me intriga es que neta la info es de Wikipedia???? Wikipedia no es muy fiable, no es muy segura la información,. Sería mucho mejor que la fuente de información sean de investigaciónes, eso sería excelente","The information is good, although of course it is missing, what intrigues me is that the info is net from Wikipedia ???? Wikipedia is not very reliable, the information is not very secure. It would be much better if the information source is from research, that would be excellent","The information is good, although of course it is missing, what intrigues me is that the info is net from Wikipedia ???? Wikipedia is not very reliable, the information is not very secure. It would be much better if the information source is from research, that would be excellent"
50,Salud Mental,Salud y bienestar,4.6,1000,com.mexiz.app,9 de octubre de 2017,Me encanto gracias,"I loved it, thanks","I loved it, thanks"
51,PD Test - Prueba de Trastornos de la Personalidad,Salud y bienestar,4.1,10000,People ‘n Droid,20 de abril de 2020,"Emocionada fui a realizar el test luego de descargar la aplicación,pero nada se congela y no me permite hacer nada...que desalentador 😒 ..","I was excited to do the test after downloading the application, but nothing freezes and does not allow me to do anything ... how daunting 😒 ..","I was excited to do the test after downloading the application, but nothing freezes and does not allow me to do anything ... how daunting 😒 .."
52,Bambú 🍃 Meditación guiada y sonidos para dormir,Salud y bienestar,4.2,10000,Rocka,1 de junio de 2020,Me encanta nunca lo habia hecho probe y siento que es la solution para mi insomnio .,I love that I have never tried it and I feel that it is the solution for my insomnia.,I love that I have never tried it and I feel that it is the solution for my insomnia.
53,Calm: Meditación y Sueño,Salud y bienestar,4.4,10000000,"Calm.com, Inc.",11 de junio de 2020,"La versión gratuita es una farsa, tienes 7 días de prueba pero sólo habilitan el contenido del primer día. Estoy dispuesta a pagar por una prueba de un mes, pero ofrecen un único pago anual (por productos que te orientan en 7 días). Divinos los sonidos de la naturaleza","The free version is a sham, you have a 7-day trial but they only enable content on the first day. I am willing to pay for a one month trial, but they offer a single annual payment (for products that guide you in 7 days). Divine sounds of nature but there are real applications ... Full opinion","The free version is a sham, you have a 7-day trial but they only enable the content on the first day. I am willing to pay for a one month trial, but they offer a single annual payment (for products that guide you in 7 days). Divine sounds of nature"
54,Mental Health Tests,Medicina,4.1,100000,"Mind Diagnostics, Inc.",14 de mayo de 2020,No se cual es el propósito de esto. Su nombre dice diagnosis (diagnóstico) pero esto es imposible sin atención de un profesional. También me parece que deberían dar más herramientas y menos preguntas.,I don't know what the purpose of this is. Its name says diagnosis (diagnosis) but this is impossible without professional attention. It also seems to me that they should give more tools and fewer questions.,I don't know what the purpose of this is. Its name says diagnosis (diagnosis) but this is impossible without professional attention. It also seems to me that they should give more tools and fewer questions.
55,Wysa: tu entrenador de felicidad,Salud y bienestar,4.7,1000000,Touchkin,16 de junio de 2020,"Es buena la aplicación, pero lo malo es que esta en ingles y puedo copiar el texto al menos para traducirlo.","The application is good, but the bad thing is that it is in English and I can copy the text at least to translate it.","The application is good, but the bad thing is that it is in English and I can copy the text at least to translate it."
56,"Música para la meditación, para estrés y ansiedad",Salud y bienestar,4.7,100000,Dream_Studio,28 de marzo de 2020,"Hasta ahora de 10. Me gusta mucho sus melodías. Tenes para seleccionar sonidos de grillos, pájaros y tiempo. Muy tranquilizador para meditar","Up to now 10. I really like their melodies. You have to select sounds of crickets, birds and time. Very reassuring to meditate","Up to now 10. I really like their melodies. You have to select sounds of crickets, birds and time. Very reassuring to meditate"
