App,Developer,Type,Rates,Downloads+,Last_reviews
Mindfulness Meditación guiada,Metta Apps,Estilo de vida,4.1,100000,Seria bueno que agregarán estadísticas semanales y estados de ánimo. Así al finalizar la semana uno puede ver su gráfica y ayuda a comparar que tan bien o no estuve durante la semana. También recordatorios seria de gran ayuda.
Curvas de Crecimiento Infantil,"ABQ App Source, LLC",Medicina,4.8,100000,"Las curvas son muy específicas en Geografía, por lo general está bien para un seguimiento pero el médico y enfermera van a usar los propios que tienen en la cartilla y puede haber ligeras variaciones."
Siente - Mindfulness y psicología positiva,Fundación facilisimo,Salud y bienestar,4.7,100000,"De los terminos y condiciones de la aplicacion: 6 .- Modificación de las condiciones de uso FUNDACIÓN FACILISIMO se reserva el derecho de desarrollar o actualizar en cualquier momento las Condiciones de Servicio de la App Siente y su Política de Privacidad, por lo que el usuario deberá leerlas perió...Opinión completa"
Motivación Diaria: Una frase motivacional por día,Meta Priori,Estilo de vida,4.4,100000,"Siempre que sales de ella, sales pensando en que siempre hay una forma de poder hacer las cosas... Muy buena app"
"Autoestima, el verdadero amor",Metta Apps,Estilo de vida,4.2,100000,Gran app la verdad esque ase mucho que no sentia nada y solo empesaba a sentir que no importaba y que en cualquier momento moriria sin inportarle a nadie pero aprendi a que amarse y encontrarse co sigo mismo es lo que ase ver que a alguien le importas y te valora y es solo a ti mismo que gran app de...Opinión completa
Ley de Atracción,Metta Apps,Estilo de vida,4.5,500000,"La aplicación es increíble! Tiene todo lectura , audio , afirmaciones ! Super completa ! Lo único para mejorar es que en las meditaciones se corta el audio justo en la relajación profunda ! Lo demás está perfecto ! Espero que lo puedas solucionar por qué es una app Super completa !"
Siente - Mindfulness y psicología positiva,Fundación facilisimo,Salud y bienestar,4.7,100000,"Amigos de siente Todo iba bien hasta la actualización no me cargan las Meditaciones aveces quiero repetir una del pasado y no deja ñ, ya llevo un mes así y estoy pagando, por favor solucionen el tema cuanto antes ya que no quiero dejar de meditar y he tenido que ir a youtube a buscarme una meditació...Opinión completa"
Como Ser Feliz,Wilson Castrillon,Estilo de vida,4.6,100000,Sin comentarios: tremenda aplicación
Libros de Motivación Personal Gratis📚Superación💪,Grupo StarkApp,Libros y obras de consulta,4.6,5000,"Contiene muchos libros interesantes, pero No funciona si no estas conectado a internet, no es recomendado para navegadores con plan de datos, tambien le hace falta un marcador para fijar la lectura donde la dejaste...Por esas cosas no me sirve.."
Coaching Personal,Metta Apps,Estilo de vida,4.2,100000,Apenas he empezado a usarla y aún tengo que entender cómo funciona (es poco intuitiva) pero es fabuloso la cantidad de listas preguntas e ideas que hay para poder analizar a fondo todos los problemas y situaciones que necesitemos esclarecer. Muchas gracias.
Curvas de Crecimiento Infantil,"ABQ App Source, LLC",Medicina,4.8,100000,"Muy útil, puedes ir haciendo un seguimiento junto con el del pediatra."
Remente - Desarrollo personal,Remente,Salud y bienestar,4.3,500000,Una aplicación muy buena 
"Frases de Motivación, Éxito y Superación Personal",lyontechapps,Estilo de vida,4.5,5000,Muy buena y muy buen diseño gráfico y de la aplicación
PNL práctico,Metta Apps,Estilo de vida,4.4,100000,"La estoy probando y me encanta, es importante reforzar con lectura pero no todo está en una app, si tuviera PDF para descargar sería aún mejor"
"Frases de Motivación, Éxito y Superación Personal",lyontechapps,Estilo de vida,4.5,5000,Buena aplicación pues genera un pequeño inconveniente al descargar o guardar la imagen
El Éxito (21 pasos),Appsfantastic3001,Estilo de vida,4.7,100000,"Un libro 📙 de mucho nivel, me guta mucho su contenido, es un libro que te ayudar mucho"
Libros de Motivación Personal Gratis📚Superación💪,Grupo StarkApp,Libros y obras de consulta,4.6,5000,Muy buena la selección de libros! Se utiliza la app sin problemas!
Ser feliz Reto 30 días by Metta Apps,Metta Apps,Estilo de vida,4.0,100000,"En la información dice solo que es relajación pero, Esta es una aplicación que me llevo al hipnotismo. Por lo menos debería decir que le van a hacer a uno."
Autoayuda y Superación Libro 5,ImagenParaWeb,Estilo de vida,4.6,50000,"Esto es ORO,en lo que se Refiere a LIBROS de Autoayuda,descargala,leela y seguro que te mejora tu vida."
La Mente es Maravillosa - Psicología y relaciones,Grupo MContigo,Noticias y revistas,4.7,100000,"Es una super aplicación, me encanta el contenido, me ha ayudado a crecer personalmente y las lecturas son muy digeribles. Todo lo que recomiendan me parece super útil. Lo malo es que ya no me llegan notificaciones cuando hay un artículo nuevo"
Ley de Atracción,Metta Apps,Estilo de vida,4.5,500000,"Excelente y bien organizada. Ojalá crezcan y puedan habilitar la opción para bajar los audios quizás de manera cifrada como hacen otras apps, podría ser mediante una versión de pago, eso resolvería el problema de mucha gente. Sería bueno quizás en un futuro puedan sacar una apk de marketing y negoci...Opinión completa"
Eleva tu Autoestima y Superación Personal,Recetas Comida Dietas y más Apps gratis ComRecApps,Salud y bienestar,4.6,10000,"Cada libro es un tesoro pero este es más aún. Me ha ayudado mucho felicidades a la autora ,sigan sacando mas material como este,en serio he disfrutado mucho del contenido"
Mindvalley: Learn and Evolve from the best courses,Mindvalley Inc.,Salud y bienestar,4.6,500000,"Mindvalley es un portal al crecimiento. De la mano de los mejores maestros y maestras a tu ritmo, construyes una mejor versión de ti. El contenido fluye entra y limpia tu alma. Sé extraordinario, me enseñó a perdonar y así poder ir a otro nivel."
"Diarize - diario, motivación. Desarrollo personal",DV Production,Estilo de vida,4.6,100000,"Muy buena app, bien completa incluso en su versión gratuita. Aconsejaría poder vincular con cuenta de Google o Facebook, y además mejorar el diseño de la misma, ya que si se mejorara la estética e interfaz tendría muchísimo más potencial. Pero fuera de eso es ideal"
🌟 Superación Personal Gratis y Meditación 🌟,CodeSmart,Estilo de vida,4.6,10000,"Súper recomendable, encontra la paz que buscas y bien guiado, gracias"
Ley de Atracción,Metta Apps,Estilo de vida,4.5,500000,"El contenido es muy bueno y está bien organizada, son de lo mejor que he visto, pero se cortan los audios en medio de la meditación que es lo mismo que no escuchar nada y no responden dudas ni consultas, a punto de desinstalarla, igual que la de ho oponopono. Una lastima!"
Autoayuda y Superación Libro 2,ImagenParaWeb,Estilo de vida,4.6,10000,Ejercicios mentales
"Autoestima, el verdadero amor",Metta Apps,Estilo de vida,4.2,100000,"La verdad que me ayudó mucho, hay que tener paciencia, pero si tenés autoestima baja te ayuda aunque sea un poco. Se las recomiendo mucho"
El arte de no amargarse la vida,Livros,Entretenimiento,4.3,10000,"Excelente libro,te dice poco a poco y con buenos ejemplos el camino a seguir para disfrutar la vida plenamente,buena presentación,buen tamaño de letra, excelente todo"
Cíngulo: Terapia Guiada,Cíngulo,Salud y bienestar,4.9,1000000,De momento estoy subiendo mi grado de autoestima y bajando el nivel de ansiedad. Estoy muy contenta con la app.
PNL y Coaching Técnicas Gratis,Patoleconteapp,Estilo de vida,3.7,50000,Inyector de basura publicitaria
Motivación Diaria: Una frase motivacional por día,Meta Priori,Estilo de vida,4.4,100000,"Me gusta mucho por todas las buenas frases que llegan a diario y realmente son motivadoras, gracias a ellas ya se un poco más que quiero hacer con mi vida. Les recomiendo mucho está aplicacion a todas las personas no solo a las que necesitan motivación ya que tiene buenas frases de todo tipo."
Coaching Personal PRO,Metta Apps,Estilo de vida,4.9,11000,He encontrado una gran fuente de inspiración. Hace mas creativa la toma de desiciones. Gran idea felicidades
Coaching Personal,Metta Apps,Estilo de vida,4.2,100000,Señores de metta apps. Estoy totalmente agradecido por sus trabajos. Sin darme cuenta baje esta app y la de mindfulness sin saber que las mismas eran de su aporte y de toda la infinidad de apps que tengo noto que estas son las que estan generando un cambio sustancial en mi para bien. Eternamente agr...Opinión completa
SkillMentor by Mentorist: SelfHelp Books In Action,Taulab OÜ,Educación,4.5,10000,It's an amazing app. Thank you but please don't convert it into paid version in future. That's the only suggestion.
Eleva tu Autoestima y Superación Personal,Recetas Comida Dietas y más Apps gratis ComRecApps,Salud y bienestar,4.6,10000,Me encanta porque es parctico y su contenido transforma cuado lo pongo en practica
Autoayuda y Superación Libro 5,ImagenParaWeb,Estilo de vida,4.6,50000,"Son momentos q enaltecen la autoestima de cualquier Ser Humano, y nos ofrece al soñar y actuar, forjar nuestra historia. Gracias mil por pensar en ello..."
"Diarize - diario, motivación. Desarrollo personal",DV Production,Estilo de vida,4.6,100000,"Recien la he descargado y estoy aprendiendo a usarla por eso le doy cuatro estrellas, pero hasta el momento parece ser muy buena app, y no me ha traido ningun inconveniente, lo que si estaria muy bien seria que puedan agregarle alarma a los habitos."
El arte de no amargarse la vida,Livros,Entretenimiento,4.3,10000,"Un gran libro.... Me encanto, ayuda bastante en tu vida cotidiana!!!! Recomendado 100%"
Crecimiento Espiritual,Apps Bíblicas Cristianas Interesantes,Libros y obras de consulta,4.6,100000,Tiene excelentes contenidos para la edificación y orientación de quienes se nos dificulta un poco entender la Biblia
Mindvalley: Learn and Evolve from the best courses,Mindvalley Inc.,Salud y bienestar,4.6,500000,"De los cursos y videos que he visto en mi vida, puedo decir que esto es lo mejor que me ha pasado. Mi memoria que venia perdiendo ha mejorado muchisimo, con estas tecnicas voy superandome cada dia. Gracias Jim y por supuesto mindvalley"
Quitzilla: Abandona los malos hábitos,despDev,Salud y bienestar,4.7,1000000,Muy bueno para eliminar esos malos hábitos que todos hemos deseado borrar. (La interfaz puede ser más atractiva y sobre todo más didáctica ya que casi no te eneseñan a usar la app y hay que hacerlo por intuición)
Quitzilla: Abandona los malos hábitos,despDev,Salud y bienestar,4.7,1000000,"Gracias a esta aplicación dejé de morderme las uñas, claro que no es 100% gracias a la aplicación pero de cierta forma ayuda con sus recordatorios y el simple hecho se tenerla hace que te comprometas un poco más a dejar ese hábito, la recomiendo ampliamente."
"Control y Monitor: Ansiedad, Ánimo y Autoestima",TwoCats App,Estilo de vida,4.6,1000000,"Una increíble aplicación, es bastante efectiva, te hace razonar sobre tu ánimo, y el precio por el premium es bastante bueno. Solo un pequeño defecto, en las actividades del día sobre el estado del ánimo pongan que se pueda seleccionar más de 1 actividad. Porfa"
Coaching Personal,Metta Apps,Estilo de vida,4.2,100000,"Parece buena, la estoy empezando a leer pero seria bueno que las notas(respuestas) estuvieran en cada pregunta.No que esten todas juntas, confunde un poco me parece"
Autoayuda y Superación Libro 3,ImagenParaWeb,Libros y obras de consulta,4.7,1000,Genial!!!!
Superación Personal,Gratis y Recomendada !,Estilo de vida,4.3,100000,Seria perfecto tener la aplicación por audio libro. Ya que seria de gran utilidad cuando se está en la oficina o en metro. Gracias
Crecimiento Espiritual,Apps Bíblicas Cristianas Interesantes,Libros y obras de consulta,4.6,100000,"Me gusta la aplicación con ella se puede aprender mucho a cerca de Dios. La recomiendo a todos aquellos que quieran conocer mejor a Dios. Puntura cinco estrellas si mejoran la funcionalidad es decir que el libro se adapte a la situación de las pantalla, que se pueda cambiar el fondo y el cambio de f...Opinión completa"
Abundancia Reto,Metta Apps,Estilo de vida,4.5,100000,"Muy completa, agradable el proceso de transformación y abundancia que se recorre día a día y reto a reto, realmente transformador."
Ley de Atracción,Metta Apps,Estilo de vida,4.5,500000,EXELENTE....en mi caso el único problema es el color de fondo de la aplicación (ROJO).. afecta mucho p para lo que tenemos problema de vision....un color menos intenso sería fabuloso...!!!!!!
"Autoestima, el verdadero amor",Metta Apps,Estilo de vida,4.2,100000,"¡me encanta! Me ha ayudado mucho en serio se las recomiendo pero, ¿sólo tiene 35 tips? Ya los termine pero no me salen los demas"
El arte de no amargarse la vida,Livros,Entretenimiento,4.3,10000,"Excelente libro que ayuda a mejorar muchos aspectos que no nos damos cuenta que están mal, ejemplos claros y sencillos, lo recomiendo muchísimo!!"
Superación Personal en audios,Ledapp71,Comunicación,4.3,10000,"Esta buena, pero me gustaría que donde detienes el audio continúe, por que empieza todo el audio, si pudieran poner un botón de retroseder y adelantar estaría mejor."
Curvas de Crecimiento Infantil,"ABQ App Source, LLC",Medicina,4.8,100000,"Realmente útil, puedo llevar yo misma el control con el peso y talla , claro seguido de su consulta con el pediatra"
SkillMentor by Mentorist: SelfHelp Books In Action,Taulab OÜ,Educación,4.5,10000,Casi todo esta bloqueado porque es pago. Si entras a una seccion despues no puedes salirte. Pocas opciones gratis y te dejan todo lo bloqueado a la vista para q te de bronca. Se ve bueno pero es estresante si no lo puedes comprar.
Eleva tu Autoestima y Superación Personal,Recetas Comida Dietas y más Apps gratis ComRecApps,Salud y bienestar,4.6,10000,"Hermosa app, realmente en mi caso me ayudo mucho. Siempre pense que tenía un autoestima alto o persistente, pero al notar que gran parte de mis actitudes no lo son , me motiva a cambiar y pensar mejor algunas acciones que realizó, además de motivarme a confiar en mi. Por lo tanto considero que vale ...Opinión completa"
Abundancia Reto,Metta Apps,Estilo de vida,4.5,100000,"La app es genial pero los audios se paran todo el rato, es imposible meditar así. Sé que antes no pasaba, ojalá podáis solucionarlo"
Autoayuda y Superación Libro 5,ImagenParaWeb,Estilo de vida,4.6,50000,"No tengo palabras,esta aplicación siempre la tengo conmigo,porque te inspira una lucha constante por lo que se desea."
La Mente es Maravillosa - Psicología y relaciones,Grupo MContigo,Noticias y revistas,4.7,100000,"Al registrarte con la cuenta de Google o mediante usuario y contraseña, la app se congela, teniendo que borrar los datos de la app o desinstalarla y volverla a instalar para que vuelva a funcionar. Es un error que lleva bastante tiempo y actualización tras actualización no se corrige."
Autoayuda y Superación Libro 4,ImagenParaWeb,Estilo de vida,4.6,10000,Mui  buenos consejos falta aplicarlos recomiendo  esta aplicacion
Superación Personal - Librería,Libro Movil,Libros y obras de consulta,3.7,100000,Es mentira que me regalan un libro por semana Cuando busco el supuesto libro regalado me aparese con opción a compra Que mal
Audios de Autoestima💪Motivación😄Superación❤️,DAVID B MARÍN,Educación,4.6,5000,"Es muy reciente el uso de la app, pero a comparación de otras app las voces no son saturadas al oído, gracias"
Superación Personal,Gratis y Recomendada !,Estilo de vida,4.3,100000,Es alentador q haya personas q sin conocerlas te hagan el bien y otras teniéndolas tan cerca te hagan tanto mal
El Poder de la mente,Emprendedora apps,Estilo de vida,4.4,100000,"Cordial saludo. La aplicación ESTABA entre las mejores de su categoría, lamentablemente hice uso de la última actualización y PERDÍ temas que venía acumulando durante meses, su presentación gráfica desmejoró, incorporaron unos juegos que en nada tienen que ver con la temática. Existe una política en...Opinión completa"
Libros de Motivación Personal Gratis📚Superación💪,Grupo StarkApp,Libros y obras de consulta,4.6,5000,Esta app realmente se enseña a ver las cosas de una manera pensante y pensar en positivo y proponerse con sus metas asta que sean exitos
Educación Financiera y Superación Personal,IncreBooks,Libros y obras de consulta,2.9,5000,Cuando le doy a descargar un libro falla la aplicación y se cierra
PNL y Coaching Técnicas Gratis,Patoleconteapp,Estilo de vida,3.7,50000,Por qué necesitan permiso a datos de llamada?
Desarrollo Personal y Financiero para Emprender,Súper Apps,Educación,4.5,100000,"Muy buena aplicación, gran aporte, pero también tiene muchas faltas de ortografía, debería cuidarse más ese aspecto pues la información es de calidad."
💎 Mentes Millonarias y Superacion Personal,CodeSmart,Estilo de vida,4.8,100000,"Excelente app, en serio la amo, la recomiendo cada vez que tengo oportunidad, me encanta, la tengo desde hace 2 años , solo le haría una corrección, me encantaría que cuando salga de la app y vuelva a entrar, pueda retomar los audio libros desde donde los dejé, porque siempre tengo que recordar por ...Opinión completa"
Educación Financiera y Superación Personal,IncreBooks,Libros y obras de consulta,2.9,5000,excelente manejo en cuanto al tema de financiacion.
El Poder de la mente,Emprendedora apps,Estilo de vida,4.4,100000,"Me gusta mucho , muy interesante !!! Todos los dias me envian algo nuevo para leer , me abre la mente. Espero todos los dias para leerlo a la noche, me hace mucho bien.👌🏼💪"
🧙 Aumenta tu Sabiduría 🧙,Nerv Apps,Estilo de vida,4.4,100000,"Me parece una exelente app porque su contenido es muy bueno, sin embargo, le doy solo cuatro estrellas porque cada vez que entro a la app esta se cierra.. Espero reparen este problema, para dar 5 estrellas"
Ser feliz Reto 30 días by Metta Apps,Metta Apps,Estilo de vida,4.0,100000,"Maravillosa aplicación!! Agradezco que la hayan hecho y haberla encontrado, me súper ayudó!!"
🌟 Superación Personal Gratis y Meditación 🌟,CodeSmart,Estilo de vida,4.6,10000,"Excelente aplicación para la superación personal y el crecimiento, me nace del corazón felicitar a los autores de la aplicación, el logrado cambiar cosas increíbles en mi vida impulsado por la enseñanza encontrada en esta app. Bendiciones para los autores!"
El Éxito (21 pasos),Appsfantastic3001,Estilo de vida,4.7,100000,Exelente aplicacion los comentarios son muy facil de entender a sido de gran ayuda en mi persona x eso le doy las 5 estrellas
Siente - Mindfulness y psicología positiva,Fundación facilisimo,Salud y bienestar,4.7,100000,Soy sincero
Educación Financiera y Superación Personal,IncreBooks,Libros y obras de consulta,2.9,5000,Genial...¡sin comentarios!
"Autoestima, el verdadero amor",Metta Apps,Estilo de vida,4.2,100000,Me parece interesante el proyecto pero no pude reproducir los audios
Remente - Desarrollo personal,Remente,Salud y bienestar,4.3,500000,"Excelente app, primera vez que la utilizo y de verdad siento que está generando cambios en mí. Tiene muchas cosas que puedes hacer, cursos, graves motivacionales, diariamente me envían correos bastante buenos la verdad. Lo que más me encanta de la aplicación son los recordatorios que asisten en las ...Opinión completa"
Remente - Desarrollo personal,Remente,Salud y bienestar,4.3,500000,"Es una excelente aplicación para hacer un seguimiento de tus pensamientos diarios, cosa que te ayuda enormemente con tu crecimiento personal, bastante atractiva visualmente y muy intuitiva de utilizar, en mi caso 5 estrellas queda corto ( recuerden que la aplicación no es Mágica, funciona porque ust...Opinión completa"
Superación Personal - Librería,Libro Movil,Libros y obras de consulta,3.7,100000,"pésima aplicacion, se atora el audio, se regresa al incio y no concluye el libro, se apaga solo y al iniciar no empieza donde me quede como lo hacen otras aplicaciones, no volvere a comprar ningun audiolibroas por este medio."
🌟 Superación Personal Gratis y Meditación 🌟,CodeSmart,Estilo de vida,4.6,10000,Solo falta actualizar día a día la frase del día
Superación Personal en audios,Ledapp71,Comunicación,4.3,10000,"La aplicación es practica. No obstante tiene un defecto, el cual consiste en que varias reproducciones se pueden activar sl mismo tiempo. y estas no se pueden desactivar individualmente, por lo que es necesario reiniciar la aplicación."
Quitzilla: Abandona los malos hábitos,despDev,Salud y bienestar,4.7,1000000,"Me encanta, especial para las personas que aceptan retos, te va actualizando los retos de la cantidad de tiempo a cumplir para lograr abandonar los malos hábitos... Justo lo que andaba buscando, sirve en todos los aspectos de la vida..."
El Éxito (21 pasos),Appsfantastic3001,Estilo de vida,4.7,100000,"Muy motivadora para leer y escuchar si queres audios, sin conexion. Se las Recomiendo, gracias x tan motivadora aplicacion:)"
🧙 Aumenta tu Sabiduría 🧙,Nerv Apps,Estilo de vida,4.4,100000,"Tiene mucho por mejorar las propagandas no te dejas abrir las funciones,cada ves que cerras el libro comienza de la página uno y con todos las frases mezcladas, el libro se cierra incluso cuando le das minimizar,las letras son muy chicas etc etc"
Coaching Personal PRO,Metta Apps,Estilo de vida,4.9,11000,Excelente lo que estaba buscando. Felicitaciones por esta herramienta práctica y al alcance de todos.
Superación Personal en audios,Ledapp71,Comunicación,4.3,10000,Muy buenos audios... Cómo podría descargar los audios
Crecimiento Espiritual,Apps Bíblicas Cristianas Interesantes,Libros y obras de consulta,4.6,100000,"Es EXCELENTE esta aplicación. Justo lo que estaba buscando...un consejo espiritual para cada día, basado en la Palabra de Dios con citas bíblicas. Una genialidad."
Cíngulo: Terapia Guiada,Cíngulo,Salud y bienestar,4.9,1000000,"Muy buena app, aunque le falta la traducción ya que a muchas palabras no les entiendo"
"Diarize - diario, motivación. Desarrollo personal",DV Production,Estilo de vida,4.6,100000,El registro sencillo de mis actividades me permite hacer un recuento de mi productividad y en que aspectos de mi vida estoy poniendo más atención. Me encanta.
Desarrollo Personal,PachaStudio,Estilo de vida,2.8,1000,No se abre. Se cuelga
🌟 Superación Personal Gratis y Meditación 🌟,CodeSmart,Estilo de vida,4.6,10000,Muy completa..con musica adecuada y relajante.Otro nivel.
"Frases de Motivación, Éxito y Superación Personal",lyontechapps,Estilo de vida,4.5,5000,"Son frases de motivación muy bien redactadas, y de verdad te ayudan muchísimo a crecer como persona..!"
Como Ser Feliz,Wilson Castrillon,Estilo de vida,4.6,100000,"Pues me gusto mucho pero cumple lo que promete,si me animo y gracias por eso,le di 5 estrellas,aun asi la desinstale Porque no tengo espacio,pero no te debe de molestar cuantas descargas tenga ya que dijiste que el proposito era hacer felices a las personas.graciad de verdad ❤❤"
Superación Personal - Librería,Libro Movil,Libros y obras de consulta,3.7,100000,Es un buen principio para los que nos gustan los libros de superación personal y autoayuda. Seguro que se van corrigiendo algunos errores y mejora.
Ser feliz Reto 30 días by Metta Apps,Metta Apps,Estilo de vida,4.0,100000,"Me encanta la app, me ha ayudado a coordinarme más con cosas que antes era muy dispersa 🥰🥰🥰🥰🥰🥰"
Frases de la Vida y Motivación,Work apps for you,Entretenimiento,4.9,50000,"Es una app maravillosa llena de consejos que te motiva y no te desanima y ayuda a las de más personas ,me encanta es la mejor apps de todas,tine un líder de ayudar y no tiene tanta foto cargadas me encanta un 100o/💯 😍"
Ser feliz Reto 30 días by Metta Apps,Metta Apps,Estilo de vida,4.0,100000,"Me gusta mucho la app, pero al escuchar la meditación cuando se apaga la pantalla ( 10 min como max en mi tlf) se corta, ¿como podrían solucionar esto?"
PNL práctico,Metta Apps,Estilo de vida,4.4,100000,"Maravillosa App!!! Gracias, Gracias, Gracias por compartir tan valioso material🙏 Altamente Recomendable!!! 🙌"
Mindvalley: Learn and Evolve from the best courses,Mindvalley Inc.,Salud y bienestar,4.6,500000,"Hola, me gusta mucho xq es sencilla, solo me gustaría más si no ocupara tantos datos de internet y pudiera tener la opción de busca rápida de los programas... aunque... deben tener su porque. Gracias x compartir sus conocimientos¡"
"Frases de Motivación, Éxito y Superación Personal",lyontechapps,Estilo de vida,4.5,5000,Las imágenes no puedo ampliar y ocultar los zócalos antes de enviar.
Autoayuda y Superación Libro 5,ImagenParaWeb,Estilo de vida,4.6,50000,"Cuando pongan la opción de audio para escuchar las historias, les pongo 5 estrellas. Está bien pero puede mejorar."
El arte de no amargarse la vida,Livros,Entretenimiento,4.3,10000,Son muy esducativo y razonables los librs. Y la app es muy buenas. Y resistentess. Esta app. Es muy interesantes. Me gusta.
Mindfulness Meditación guiada,Metta Apps,Estilo de vida,4.1,100000,"Hola! Cuándo van a subir mas ejercicios? He hecho los mismos de a finales del año antepasado y ya está siendo demasiado repetitivo, eso incide en alguna medida en la práctica. De antemano, muchas gracias."
Desarrollo Personal y Financiero para Emprender,Súper Apps,Educación,4.5,100000,Excelente... Esto te ayuda a dar el primer pantallazo y empezar a realizar todos tus proyectos.... Tiene informacion de oro. Gracias fue de gran ayuda en muchos aspectos.... Saludos.
💎 Mentes Millonarias y Superacion Personal,CodeSmart,Estilo de vida,4.8,100000,Me encanta. Siempre me motiva con sus frases diarias. Y los audiolibros son los mejores. Sin duda es una gran aplicación para aquellos emprendedores que necesitamos esa dosis de positivismo al día. Felicidades a los creadores.
Autoayuda y Superación Libro 4,ImagenParaWeb,Estilo de vida,4.6,10000,"Si quiere cambiar tu vida, esto te ayudará. No te vas arrepentir de LEERLO!!!"
Fabulous: ¡Motívame!,TheFabulous,Salud y bienestar,4.5,5000000,"Es una excelente aplicación, te lleva por pequeños pasos pero seguros, hasta que se convierten en hábitos y forman parte de tu vida, a mí me ha funcionado muy bien. Solo que igual que muchas de las reseñas que hay, la copia de seguridad. A mí me ha pasado que tuve un problema con mi celular y se ten...Opinión completa"
