App,Developer,Type,Rates,Downloads+,Last_reviews,Last_reviews_eng
"Control y Monitor: Ansiedad, Ánimo y Autoestima",TwoCats App,Estilo de vida,4.6,1000000,Este app es excelente! te ayuda a mantenerte relajado ante las ansiedades con las prácticas de respiración.!! Recomendado para todos quienes sufren Ansiedades y ataques de pánico!! Llevo 10 años con el problema y por fín encontre un app que me ayude a paliar con este trastorno psicológico. Saludos y bendiciones.,This app is excellent! helps you stay relaxed in the face of anxieties with breathing practices. !! Recommended for all those who suffer from anxiety and panic attacks! I have been with the problem for 10 years and at last I found an app to help me alleviate this psychological disorder. Greetings and blessings.
Abundancia Reto,Metta Apps,Estilo de vida,4.5,100000,"Le he dado solo dos estrellas, me parece buen material pero lamentablemente los audios se paran, dejan de funcionar y de esta forma no se puede meditar dado a que se interrumpe, siempre me gusta respetar el trabajo de todo desarrollador y respeto este, es un buen trabajo pero el fallo común son los audios, pensé que era mi internet y ya comprobé que no.","I have given it only two stars, I think it is good material but unfortunately the audios stop, they stop working and this way you cannot meditate given that it is interrupted, I always like to respect the work of every developer and I respect this, it is a good job but the common failure are the audios, I thought it was my internet and I already checked that it was not."
🧙 Aumenta tu Sabiduría 🧙,Nerv Apps,Estilo de vida,4.4,100000,"La app en sí es buena, pero en mi opinión estaría mejor si pusieras las fechas ya que ayuda bastante a entender en qué condiciones slo escribió el autor.","The app itself is good, but in my opinion it would be better if you put the dates since it helps a lot to understand under what conditions the author only wrote."
Superación Personal - Librería,Libro Movil,Libros y obras de consulta,3.7,100000,pésima!!!! el audio se traba constantemente. devuelvan mi dinero,lousy !!!! the audio is constantly stuck. return my money
La Mente es Maravillosa - Psicología y relaciones,Grupo MContigo,Noticias y revistas,4.7,100000,"Me gusta bastante los artículos, es información que ayuda, además, las dan expertos en el tema. La recomiendo para leer y saber temas de psicología, salud, familia entre otros.","I quite like the articles, it is information that helps, in addition, they are given by experts on the subject. I recommend her to read and learn about psychology, health, family, among others."
Motivación Diaria: Una frase motivacional por día,Meta Priori,Estilo de vida,4.4,100000,"Me gustaría que hubieran más frases pues ya se empezaron a repetir y me gusta mucho la app Excelentes frases, realmente te dejan pensando y reflexionando, interesante aplicación","I would like there to be more phrases because they have already started to repeat and I really like the app Excellent phrases, they really leave you thinking and reflecting, interesting application"
SkillMentor by Mentorist: SelfHelp Books In Action,Taulab OÜ,Educación,4.5,10000,Very practical tool for habit creation,Very practical tool for habit creation
"Control y Monitor: Ansiedad, Ánimo y Autoestima",TwoCats App,Estilo de vida,4.6,1000000,Es una aplicación súper guay cada día me siento de un número diferente jejeje habitualmente me siento increíble pero bueno da igual he tenido que evaluar este aplicación con cinco estrellas porque es la mejor aplicación de todas. He evaluado muchas y siempre digo que es la mejor aplicación de todas en todas las aplicaciones que tengo y que evaluo y que después al final de la reseña digo que la aplicación que haya valorado la que sea es la que más destaca pero creo que me equivoqué es esta👏😍🤗,It is a super cool application every day I feel like I am from a different number lol I usually feel incredible but well it doesn't matter I have had to evaluate this application with five stars because it is the best application of all. I have evaluated many and I always say that it is the best application of all in all the applications that I have and that I evaluate and that later at the end of the review I say that the application that I have rated is the one that stands out the most but I think I was wrong is this👏😍🤗
Coaching Personal PRO,Metta Apps,Estilo de vida,4.9,11000,Buena,Good
Mindfulness Meditación guiada,Metta Apps,Estilo de vida,4.1,100000,Seria bueno que agregarán estadísticas semanales y estados de ánimo. Así al finalizar la semana uno puede ver su gráfica y ayuda a comparar que tan bien o no estuve durante la semana. También recordatorios seria de gran ayuda.,It would be nice if they added weekly stats and moods. So at the end of the week one can see his graph and helps to compare how well or not I was during the week. Also very helpful reminders.
Curvas de Crecimiento Infantil,"ABQ App Source, LLC",Medicina,4.8,100000,"Las curvas son muy específicas en Geografía, por lo general está bien para un seguimiento pero el médico y enfermera van a usar los propios que tienen en la cartilla y puede haber ligeras variaciones.","The curves are very specific in Geography, generally fine for follow-up, but the doctor and nurse will use their own on the chart and there may be slight variations."
Siente - Mindfulness y psicología positiva,Fundación facilisimo,Salud y bienestar,4.7,100000,"De los terminos y condiciones de la aplicacion: 6 .- Modificación de las condiciones de uso FUNDACIÓN FACILISIMO se reserva el derecho de desarrollar o actualizar en cualquier momento las Condiciones de Servicio de la App Siente y su Política de Privacidad, por lo que el usuario deberá leerlas periódicamente. Podrían cambiar esta cláusula y dejar constancia de que el desarrollador se obliga a notificar al usuario cualquier cambio en los mismos de manera previa a la vigencia de los mismos.","Of the terms and conditions of the application: 6 .- Modification of the conditions of use FUNDACIÓN FACILISIMO reserves the right to develop or update at any time the Terms of Service of the App Siente and its Privacy Policy, so that the user You should read them periodically. They could change this clause and put on record that the developer is obliged to notify the user of any change in them prior to their validity."
Motivación Diaria: Una frase motivacional por día,Meta Priori,Estilo de vida,4.4,100000,"Siempre que sales de ella, sales pensando en que siempre hay una forma de poder hacer las cosas... Muy buena app","Whenever you leave it, you leave thinking that there is always a way to do things ... Very good app"
"Autoestima, el verdadero amor",Metta Apps,Estilo de vida,4.2,100000,Gran app la verdad esque ase mucho que no sentia nada y solo empesaba a sentir que no importaba y que en cualquier momento moriria sin inportarle a nadie pero aprendi a que amarse y encontrarse co sigo mismo es lo que ase ver que a alguien le importas y te valora y es solo a ti mismo que gran app de autoayuda si la haiga conocido antes mi vida orita mismo seria la mejor pero el cambio lo es todo que mejor que esta app para demostrar que es lo unico que nos debe inportar y muchas veces falta eso.,"Great app, the truth is that he felt that he did not feel anything and only began to feel that it did not matter and that at any moment he would die without importing anyone but he learned that loving and being with yourself is what it is to see that someone cares and It values ​​you and it is only yourself that great self-help app if you have known it before my life orita itself would be the best but the change is everything that better than this app to demonstrate that it is the only thing that we should import and many times it is missing that."
Ley de Atracción,Metta Apps,Estilo de vida,4.5,500000,"La aplicación es increíble! Tiene todo lectura , audio , afirmaciones ! Super completa ! Lo único para mejorar es que en las meditaciones se corta el audio justo en la relajación profunda ! Lo demás está perfecto ! Espero que lo puedas solucionar por qué es una app Super completa !","The application is incredible! It has all reading, audio, affirmations! Super complete! The only thing to improve is that in the meditations the audio is cut right in the deep relaxation! The rest is perfect! I hope you can solve it because it is a super complete app!"
Siente - Mindfulness y psicología positiva,Fundación facilisimo,Salud y bienestar,4.7,100000,"Amigos de siente Todo iba bien hasta la actualización no me cargan las Meditaciones aveces quiero repetir una del pasado y no deja ñ, ya llevo un mes así y estoy pagando, por favor solucionen el tema cuanto antes ya que no quiero dejar de meditar y he tenido que ir a youtube a buscarme una meditación guiada porque la de ustedes no carga Les agradezco","Friends of feels Everything was fine until the update, the Meditations do not load me sometimes I want to repeat one of the past and it does not stop ñ, I have been a month like this and I am paying, please solve the issue as soon as possible since I do not want to stop meditating and I have had to go to youtube to find me a guided meditation because yours doesn't load I thank you"
Como Ser Feliz,Wilson Castrillon,Estilo de vida,4.6,100000,Sin comentarios: tremenda aplicación,No comment: tremendous application
Libros de Motivación Personal Gratis📚Superación💪,Grupo StarkApp,Libros y obras de consulta,4.6,5000,"Contiene muchos libros interesantes, pero No funciona si no estas conectado a internet, no es recomendado para navegadores con plan de datos, tambien le hace falta un marcador para fijar la lectura donde la dejaste...Por esas cosas no me sirve..","It contains many interesting books, but It does not work if you are not connected to the internet, it is not recommended for browsers with a data plan, it also needs a marker to fix the reading where you left it ... For those things it does not help me .."
Coaching Personal,Metta Apps,Estilo de vida,4.2,100000,Apenas he empezado a usarla y aún tengo que entender cómo funciona (es poco intuitiva) pero es fabuloso la cantidad de listas preguntas e ideas que hay para poder analizar a fondo todos los problemas y situaciones que necesitemos esclarecer. Muchas gracias.,"I have just started using it and I still have to understand how it works (it is not very intuitive) but it is fabulous the number of lists, questions and ideas that there are to be able to thoroughly analyze all the problems and situations that we need to clarify. Thank you very much."
Curvas de Crecimiento Infantil,"ABQ App Source, LLC",Medicina,4.8,100000,"Muy útil, puedes ir haciendo un seguimiento junto con el del pediatra.","Very useful, you can follow up with the pediatrician."
Remente - Desarrollo personal,Remente,Salud y bienestar,4.3,500000,Una aplicación muy buena ,A very good application
"Frases de Motivación, Éxito y Superación Personal",lyontechapps,Estilo de vida,4.5,5000,Muy buena y muy buen diseño gráfico y de la aplicación,Very good and very good graphic and application design
PNL práctico,Metta Apps,Estilo de vida,4.4,100000,"La estoy probando y me encanta, es importante reforzar con lectura pero no todo está en una app, si tuviera PDF para descargar sería aún mejor","I am testing it and I love it, it is important to reinforce with reading but not everything is in an app, if I had PDF to download it would be even better"
"Frases de Motivación, Éxito y Superación Personal",lyontechapps,Estilo de vida,4.5,5000,Buena aplicación pues genera un pequeño inconveniente al descargar o guardar la imagen,Good application because it generates a small inconvenience when downloading or saving the image
El Éxito (21 pasos),Appsfantastic3001,Estilo de vida,4.7,100000,"Un libro 📙 de mucho nivel, me guta mucho su contenido, es un libro que te ayudar mucho","A book 📙 of a high level, I really like its content, it is a book that will help you a lot"
Libros de Motivación Personal Gratis📚Superación💪,Grupo StarkApp,Libros y obras de consulta,4.6,5000,Muy buena la selección de libros! Se utiliza la app sin problemas!,Very good selection of books! The app is used without problems!
Ser feliz Reto 30 días by Metta Apps,Metta Apps,Estilo de vida,4.0,100000,"En la información dice solo que es relajación pero, Esta es una aplicación que me llevo al hipnotismo. Por lo menos debería decir que le van a hacer a uno.","In the information it says only that it is relaxation but, This is an application that led me to hypnotism. At least I should say they are going to do it to you."
Autoayuda y Superación Libro 5,ImagenParaWeb,Estilo de vida,4.6,50000,"Esto es ORO,en lo que se Refiere a LIBROS de Autoayuda,descargala,leela y seguro que te mejora tu vida.","This is GOLD, as regards Self-help BOOKS, download it, read it and it will surely improve your life."
La Mente es Maravillosa - Psicología y relaciones,Grupo MContigo,Noticias y revistas,4.7,100000,"Es una super aplicación, me encanta el contenido, me ha ayudado a crecer personalmente y las lecturas son muy digeribles. Todo lo que recomiendan me parece super útil. Lo malo es que ya no me llegan notificaciones cuando hay un artículo nuevo","It is a super application, I love the content, it has helped me grow personally and the readings are very digestible. Everything they recommend seems super useful to me. The bad thing is that I no longer get notifications when there is a new article"
Ley de Atracción,Metta Apps,Estilo de vida,4.5,500000,"Excelente y bien organizada. Ojalá crezcan y puedan habilitar la opción para bajar los audios quizás de manera cifrada como hacen otras apps, podría ser mediante una versión de pago, eso resolvería el problema de mucha gente. Sería bueno quizás en un futuro puedan sacar una apk de marketing y negocios. Por lo demás, es un gran aporte, muchísimas gracias.","Excellent and well organized. Hopefully they grow and they can enable the option to download the audios perhaps in an encrypted way like other apps do, it could be through a paid version, that would solve the problem of many people. It would be nice maybe in the future they can get a marketing and business apk. For the rest, it is a great contribution, thank you very much."
Eleva tu Autoestima y Superación Personal,Recetas Comida Dietas y más Apps gratis ComRecApps,Salud y bienestar,4.6,10000,"Cada libro es un tesoro pero este es más aún. Me ha ayudado mucho felicidades a la autora ,sigan sacando mas material como este,en serio he disfrutado mucho del contenido","Each book is a treasure but this one is even more. It has helped me a lot, congratulations to the author, keep getting more material like this, I really enjoyed the content a lot"
Mindvalley: Learn and Evolve from the best courses,Mindvalley Inc.,Salud y bienestar,4.6,500000,"Mindvalley es un portal al crecimiento. De la mano de los mejores maestros y maestras a tu ritmo, construyes una mejor versión de ti. El contenido fluye entra y limpia tu alma. Sé extraordinario, me enseñó a perdonar y así poder ir a otro nivel.","Mindvalley is a portal to growth. Hand in hand with the best teachers at your own pace, you build a better version of yourself. The content flows in and cleans your soul. Be extraordinary, you taught me to forgive so that I can go to another level."
"Diarize - diario, motivación. Desarrollo personal",DV Production,Estilo de vida,4.6,100000,"Muy buena app, bien completa incluso en su versión gratuita. Aconsejaría poder vincular con cuenta de Google o Facebook, y además mejorar el diseño de la misma, ya que si se mejorara la estética e interfaz tendría muchísimo más potencial. Pero fuera de eso es ideal","Very good app, very complete even in its free version. I would advise being able to link with a Google or Facebook account, and also improve its design, since if the aesthetics and interface were improved it would have much more potential. But other than that it's ideal"
🌟 Superación Personal Gratis y Meditación 🌟,CodeSmart,Estilo de vida,4.6,10000,"Súper recomendable, encontra la paz que buscas y bien guiado, gracias","Super recommended, find the peace you are looking for and well guided, thanks"
Ley de Atracción,Metta Apps,Estilo de vida,4.5,500000,"El contenido es muy bueno y está bien organizada, son de lo mejor que he visto, pero se cortan los audios en medio de la meditación que es lo mismo que no escuchar nada y no responden dudas ni consultas, a punto de desinstalarla, igual que la de ho oponopono. Una lastima!","The content is very good and well organized, they are the best I have seen, but the audios are cut in the middle of the meditation which is the same as not listening to anything and no questions or queries are answered, about to be uninstalled, just like that of ho oponopono. A shame!"
Autoayuda y Superación Libro 2,ImagenParaWeb,Estilo de vida,4.6,10000,Ejercicios mentales,Mental exercises
"Autoestima, el verdadero amor",Metta Apps,Estilo de vida,4.2,100000,"La verdad que me ayudó mucho, hay que tener paciencia, pero si tenés autoestima baja te ayuda aunque sea un poco. Se las recomiendo mucho","The truth that helped me a lot, you have to be patient, but if you have low self-esteem it helps you even a little. I highly recommend them"
El arte de no amargarse la vida,Livros,Entretenimiento,4.3,10000,"Excelente libro,te dice poco a poco y con buenos ejemplos el camino a seguir para disfrutar la vida plenamente,buena presentación,buen tamaño de letra, excelente todo","Excellent book, it tells you little by little and with good examples the way to follow to enjoy life fully, good presentation, good font size, excellent everything"
Cíngulo: Terapia Guiada,Cíngulo,Salud y bienestar,4.9,1000000,De momento estoy subiendo mi grado de autoestima y bajando el nivel de ansiedad. Estoy muy contenta con la app.,At the moment I am raising my degree of self-esteem and lowering the level of anxiety. I am very happy with the app.
PNL y Coaching Técnicas Gratis,Patoleconteapp,Estilo de vida,3.7,50000,Inyector de basura publicitaria,Advertising Trash Injector
Motivación Diaria: Una frase motivacional por día,Meta Priori,Estilo de vida,4.4,100000,"Me gusta mucho por todas las buenas frases que llegan a diario y realmente son motivadoras, gracias a ellas ya se un poco más que quiero hacer con mi vida. Les recomiendo mucho está aplicacion a todas las personas no solo a las que necesitan motivación ya que tiene buenas frases de todo tipo.","I like it very much for all the good phrases that come in daily and they are really motivating, thanks to them I already know a little more what I want to do with my life. I highly recommend this application to all people, not just those who need motivation, as it has good phrases of all kinds."
Coaching Personal PRO,Metta Apps,Estilo de vida,4.9,11000,He encontrado una gran fuente de inspiración. Hace mas creativa la toma de desiciones. Gran idea felicidades,I have found a great source of inspiration. It makes decision making more creative. Great idea congratulations
Coaching Personal,Metta Apps,Estilo de vida,4.2,100000,Señores de metta apps. Estoy totalmente agradecido por sus trabajos. Sin darme cuenta baje esta app y la de mindfulness sin saber que las mismas eran de su aporte y de toda la infinidad de apps que tengo noto que estas son las que estan generando un cambio sustancial en mi para bien. Eternamente agradecido. Ahora ni dude en bajarme tambien la de ansiedad y estres y la de pnl sabiendo que son de su trabajo. Y con ello tengo asegurado una experiencia positiva. Sinceramente gracias.,"Gentlemen of metta apps. I am totally grateful for your work. Without realizing it, I downloaded this app and the mindfulness app without knowing that they were their contribution and all the infinity of apps that I have. I notice that these are the ones that are generating a substantial change in me for good. Eternally grateful. Now do not hesitate to also download the anxiety and stress and the pnl knowing that they are from your work. And with this I am assured of a positive experience. Thank you sincerely."
SkillMentor by Mentorist: SelfHelp Books In Action,Taulab OÜ,Educación,4.5,10000,It's an amazing app. Thank you but please don't convert it into paid version in future. That's the only suggestion.,It's an amazing app. Thank you but please don't convert it into paid version in future. That's the only suggestion.
Eleva tu Autoestima y Superación Personal,Recetas Comida Dietas y más Apps gratis ComRecApps,Salud y bienestar,4.6,10000,Me encanta porque es parctico y su contenido transforma cuado lo pongo en practica,I love it because it is practical and its content transforms when I put it into practice
Autoayuda y Superación Libro 5,ImagenParaWeb,Estilo de vida,4.6,50000,"Son momentos q enaltecen la autoestima de cualquier Ser Humano, y nos ofrece al soñar y actuar, forjar nuestra historia. Gracias mil por pensar en ello...","These are moments that enhance the self-esteem of any Human Being, and it offers us by dreaming and acting, forging our history. Thanks a thousand for thinking about it ..."
"Diarize - diario, motivación. Desarrollo personal",DV Production,Estilo de vida,4.6,100000,"Recien la he descargado y estoy aprendiendo a usarla por eso le doy cuatro estrellas, pero hasta el momento parece ser muy buena app, y no me ha traido ningun inconveniente, lo que si estaria muy bien seria que puedan agregarle alarma a los habitos.","I have just downloaded it and I am learning to use it, that's why I give it four stars, but so far it seems to be a very good app, and it has not brought me any inconvenience, which if it would be very good, they could add alarm to the habits."
El arte de no amargarse la vida,Livros,Entretenimiento,4.3,10000,"Un gran libro.... Me encanto, ayuda bastante en tu vida cotidiana!!!! Recomendado 100%","A great book .... I love it, it helps a lot in your daily life !!!! Recommended 100%"
Crecimiento Espiritual,Apps Bíblicas Cristianas Interesantes,Libros y obras de consulta,4.6,100000,Tiene excelentes contenidos para la edificación y orientación de quienes se nos dificulta un poco entender la Biblia,It has excellent content for the edification and guidance of those who find it difficult to understand the Bible
Mindvalley: Learn and Evolve from the best courses,Mindvalley Inc.,Salud y bienestar,4.6,500000,"De los cursos y videos que he visto en mi vida, puedo decir que esto es lo mejor que me ha pasado. Mi memoria que venia perdiendo ha mejorado muchisimo, con estas tecnicas voy superandome cada dia. Gracias Jim y por supuesto mindvalley","From the courses and videos that I have seen in my life, I can say that this is the best thing that has happened to me. My memory that I was losing has improved a lot, with these techniques I am improving myself every day. Thanks Jim and of course mindvalley"
Quitzilla: Abandona los malos hábitos,despDev,Salud y bienestar,4.7,1000000,Muy bueno para eliminar esos malos hábitos que todos hemos deseado borrar. (La interfaz puede ser más atractiva y sobre todo más didáctica ya que casi no te eneseñan a usar la app y hay que hacerlo por intuición),Very good to eliminate those bad habits that we have all wanted to eliminate. (The interface can be more attractive and above all more didactic since they hardly teach you how to use the app and you have to do it intuitively)
Quitzilla: Abandona los malos hábitos,despDev,Salud y bienestar,4.7,1000000,"Gracias a esta aplicación dejé de morderme las uñas, claro que no es 100% gracias a la aplicación pero de cierta forma ayuda con sus recordatorios y el simple hecho se tenerla hace que te comprometas un poco más a dejar ese hábito, la recomiendo ampliamente.","Thanks to this application I stopped biting my nails, of course it is not 100% thanks to the application but in some way it helps with its reminders and the simple fact of having it makes you commit yourself a little more to quitting that habit, I highly recommend it."
"Control y Monitor: Ansiedad, Ánimo y Autoestima",TwoCats App,Estilo de vida,4.6,1000000,"Una increíble aplicación, es bastante efectiva, te hace razonar sobre tu ánimo, y el precio por el premium es bastante bueno. Solo un pequeño defecto, en las actividades del día sobre el estado del ánimo pongan que se pueda seleccionar más de 1 actividad. Porfa","An incredible application, it is quite effective, it makes you reason about your mood, and the price for the premium is quite good. Only a small flaw, in the day's mood activities put more than 1 activity can be selected. Please"
Coaching Personal,Metta Apps,Estilo de vida,4.2,100000,"Parece buena, la estoy empezando a leer pero seria bueno que las notas(respuestas) estuvieran en cada pregunta.No que esten todas juntas, confunde un poco me parece","It seems good, I am starting to read it but it would be good if the notes (answers) were in each question. Not that they are all together, it confuses a little it seems"
Autoayuda y Superación Libro 3,ImagenParaWeb,Libros y obras de consulta,4.7,1000,Genial !!!!,Genial !!!!
Superación Personal,Gratis y Recomendada !,Estilo de vida,4.3,100000,Seria perfecto tener la aplicación por audio libro. Ya que seria de gran utilidad cuando se está en la oficina o en metro. Gracias,It would be perfect to have the application by audio book. Since it would be very useful when you are in the office or on the subway. Thank you
Crecimiento Espiritual,Apps Bíblicas Cristianas Interesantes,Libros y obras de consulta,4.6,100000,"Me gusta la aplicación con ella se puede aprender mucho a cerca de Dios. La recomiendo a todos aquellos que quieran conocer mejor a Dios. Puntura cinco estrellas si mejoran la funcionalidad es decir que el libro se adapte a la situación de las pantalla, que se pueda cambiar el fondo y el cambio de fuente se readapte o reajuste a la pantalla. Que Dios les bendiga.","I like the application with it you can learn a lot about God. I recommend it to all those who want to know God better. Score five stars if they improve the functionality that is to say that the book adapts to the situation of the screen, that the background can be changed and the change of font is adapted or readjusted to the screen. God bless you."
Abundancia Reto,Metta Apps,Estilo de vida,4.5,100000,"Muy completa, agradable el proceso de transformación y abundancia que se recorre día a día y reto a reto, realmente transformador.","Very complete, pleasant the process of transformation and abundance that goes through every day and challenge to challenge, truly transformative."
Ley de Atracción,Metta Apps,Estilo de vida,4.5,500000,EXELENTE....en mi caso el único problema es el color de fondo de la aplicación (ROJO).. afecta mucho p para lo que tenemos problema de vision....un color menos intenso sería fabuloso...!!!!!!,EXCELLENT .... in my case the only problem is the background color of the application (RED) .. it affects a lot for what we have a vision problem .... a less intense color would be fabulous ... !!! !!!
"Autoestima, el verdadero amor",Metta Apps,Estilo de vida,4.2,100000,"¡me encanta! Me ha ayudado mucho en serio se las recomiendo pero, ¿sólo tiene 35 tips? Ya los termine pero no me salen los demas","I love! It has helped me a lot, I seriously recommend them, but do you only have 35 tips? I already finished them but the others do not come out"
El arte de no amargarse la vida,Livros,Entretenimiento,4.3,10000,"Excelente libro que ayuda a mejorar muchos aspectos que no nos damos cuenta que están mal, ejemplos claros y sencillos, lo recomiendo muchísimo!!","Excellent book that helps improve many aspects that we do not realize are wrong, clear and simple examples, I highly recommend it !!"
Superación Personal en audios,Ledapp71,Comunicación,4.3,10000,"Esta buena, pero me gustaría que donde detienes el audio continúe, por que empieza todo el audio, si pudieran poner un botón de retroseder y adelantar estaría mejor.","This is good, but I would like where you stop the audio to continue, because all the audio starts, if they could put a backsense button and fast forward it would be better."
Curvas de Crecimiento Infantil,"ABQ App Source, LLC",Medicina,4.8,100000,"Realmente útil, puedo llevar yo misma el control con el peso y talla , claro seguido de su consulta con el pediatra","Really useful, I can keep track of weight and height myself, of course followed by consultation with the pediatrician"
SkillMentor by Mentorist: SelfHelp Books In Action,Taulab OÜ,Educación,4.5,10000,Casi todo esta bloqueado porque es pago. Si entras a una seccion despues no puedes salirte. Pocas opciones gratis y te dejan todo lo bloqueado a la vista para q te de bronca. Se ve bueno pero es estresante si no lo puedes comprar.,Almost everything is blocked because it is paid. If you enter a section later you cannot exit. Few free options and they leave everything blocked in sight to make you angry. It looks good but it's stressful if you can't buy it.
Eleva tu Autoestima y Superación Personal,Recetas Comida Dietas y más Apps gratis ComRecApps,Salud y bienestar,4.6,10000,"Hermosa app, realmente en mi caso me ayudo mucho. Siempre pense que tenía un autoestima alto o persistente, pero al notar que gran parte de mis actitudes no lo son , me motiva a cambiar y pensar mejor algunas acciones que realizó, además de motivarme a confiar en mi. Por lo tanto considero que vale la pena, si quieren tener o aumentar su autoestima esta aplicación motiva mucho en el día a día cuando estas triste o no te sientas inseguro de ti mismo. De mi parte se merece las 5 estrellas y mucho más.","Beautiful app, really in my case it helped me a lot. I always thought that I had a high or persistent self-esteem, but when noticing that a large part of my attitudes are not, it motivates me to change and think better about some actions that I have taken, in addition to motivating me to trust myself. Therefore I consider it worthwhile, if you want to have or increase your self-esteem this application motivates a lot in the day to day when you are sad or do not feel unsure of yourself. From me it deserves 5 stars and much more."
Abundancia Reto,Metta Apps,Estilo de vida,4.5,100000,"La app es genial pero los audios se paran todo el rato, es imposible meditar así. Sé que antes no pasaba, ojalá podáis solucionarlo","The app is great but the audios stop all the time, it is impossible to meditate like this. I know it didn't happen before, I hope you can solve it"
Autoayuda y Superación Libro 5,ImagenParaWeb,Estilo de vida,4.6,50000,"No tengo palabras,esta aplicación siempre la tengo conmigo,porque te inspira una lucha constante por lo que se desea.","I have no words, this application I always have with me, because it inspires you a constant fight for what you want."
