,App_name,App_type,App_rate,App_downloads+,App_developer,App_last_update,App_review
10,PSY online terapia psicologia. Сhat apoyo anónimo.,Salud y bienestar,4.3,500000,INVOLTA INC,16 de junio de 2020,"Es genial, pero ya no me funciona, no me cargaban las preguntas ni me dejaba postearlas. Reinstalé la app y ahora no funciona ni carga nada, dice que escriba a servicio técnico. Ayuda por favor."
11,Ansiedad y estrés,Salud y bienestar,4.0,100000,Metta Apps,2 de mayo de 2020,"Una app de mucha ayuda, aunque no puedo escuchar los audios en android 4 ni 5 tras las ultimas actualizaciones."
12,Moodpath - Depression & Anxiety Test,Medicina,4.6,1000000,MindDoc Health,10 de junio de 2020,Es una buena app para revisar el propio estado de animo y entenderse a sí mismo. Algunas preguntas son repetitivas u ofensivas y no parece que tengan en cuenta cuando uno las reporta como tales. EDIT. Funcona cada vez peor. Pierde entradas y me saltea preguntas aún estando en horario.
13,Lojong: Meditación y Mindfulness -Ansiedad +Sueño,Salud y bienestar,4.9,1000000,Unisollus,26 de mayo de 2020,"¡Perfecta! Realmente puedes acceder a todo el contenido de manera semi-gratis, osea, puedes ver anuncios para entrar a el contenido premium si no quieres pagar. De la docena de aplicaciones sobre meditación que ya había probado está sin duda alguna es la más completa aunque irónicamente decidí desca...Opinión completa"
14,Cíngulo: Terapia Guiada,Salud y bienestar,4.9,1000000,Cíngulo,17 de junio de 2020,La primera autoevaluación estuvo bien atinada. Me parece un tipo de aplicación necesaria.
15,"Mejor con Salud - Belleza, dieta y bienestar",Salud y bienestar,4.5,100000,Grupo MContigo,13 de junio de 2020,Es excelente. Y ayuda muchisimo a aumentar nuestro conocimiento acerca de las enfermedades en general. Agradecida .
16,Ansiedad y estrés,Salud y bienestar,4.0,100000,Metta Apps,2 de mayo de 2020,Los audios no los abre. Podrian arreilarlo porf.Grasias.
17,Medita con Petit BamBou: mindfulness y sueño,Salud y bienestar,4.7,1000000,FeelVeryBien sarl,12 de junio de 2020,"Amo los videos introductorios y reflexivos, me encanta la función sin guía, y el acompañamiento que brindan en el proceso, amaría que la prueba gratuita contara con más videos pues no puedo adquirir los demás beneficios, pero la experiencia ha sido magnífica."
18,PsicoTests,Medicina,4.6,1000000,Psique Apps,24 de febrero de 2020,"Es una ayuda para tratar de comprender ciertos comportamientos a través de test que estén validados, apenas empecé a usar la aplicación y me ha perecido muy interesante, ya que que hay muchos temas para estudiar y ahondar en el conocimiento tanto para estudiantes como los profesionales de la salud m...Opinión completa"
19,"Música para la meditación, para estrés y ansiedad",Salud y bienestar,4.7,100000,Dream_Studio,28 de marzo de 2020,Buenísimo!!! Me encanta. Tiene todo para programar lo que me gusta
20,Psicologia de la Depresión,Salud y bienestar,4.7,100000,Nice-Apps,30 de marzo de 2020,"Me gustó bastante, dice cosas muy ciertas que yo puedo asegurar, estoy segura de que muchas personas se sintieron identificadas con esto al igual que yo y no es nada fácil aceptar que lo estás viviendo, mucho menos sabiendo que tú familia no le toma importancia porque piensa que estás exagerando. Es...Opinión completa"
21,Psicología Positiva Fácil,Salud y bienestar,4.1,50000,3Temes Publishers,29 de diciembre de 2014,"Es una aplicación bastante buena, aun así siento que le falta algo, pero muy recomentadable si quieres tener una vida emocional sana."
22,Salud Mental,Salud y bienestar,4.6,50000,Charnan.7,17 de enero de 2019,hermosa app. noble precisa y real. sentí que me estaban ayudando. y que los consejos eran para mi. gracias de todo corazón. 💓
23,Diario de animo y preguntas (anti depresión),Estilo de vida,4.3,500000,Reflexio Team,31 de mayo de 2020,"Me gusta la idea de tomarnos un momento a pensar y analizar nuestras respuestas. Nos ayuda a tomar conciencia. También tiene una opción para poner una nota de lo que quieras del día, lo cual nos ayuda a saber nuestro equilibrio mental a lo largo del tiempo. Me gustaría que tengan más opciones gratis...Opinión completa"
24,Siente - Mindfulness y psicología positiva,Salud y bienestar,4.7,100000,Fundación facilisimo,21 de mayo de 2020,Tengo subscripción anual y estoy contenta hubo un problema y me lo solucionaron rapidísimo. La recomiendo!
25,PNL práctico,Estilo de vida,4.3,100000,Metta Apps,3 de mayo de 2020,"Maravillosa App!!! Gracias, Gracias, Gracias por compartir tan valioso material🙏 Altamente Recomendable!!! 🙌"
26,Siente - Mindfulness y psicología positiva,Salud y bienestar,4.7,100000,Fundación facilisimo,21 de mayo de 2020,"EXCELENTE. He ido a sesiones de Mindfullness y puedo decir que esta app realmente sirve a su propósito. LAMENTABLEMENTE ME SUSCRIBI POR UN AÑO Y FALTANDO 3 MESES TODO MI PROGRESO SE HA BORRADO Y ESTOY NUEVAMENTE EN LA VERSIÓN GRATUITA. NECESITO AYUDA, POR FAVOR"
27,La Mente es Maravillosa - Psicología y relaciones,Noticias y revistas,4.8,100000,Grupo MContigo,13 de junio de 2020,"Es una super aplicación, me encanta el contenido, me ha ayudado a crecer personalmente y las lecturas son muy digeribles. Todo lo que recomiendan me parece super útil. Lo malo es que ya no me llegan notificaciones cuando hay un artículo nuevo"
28,Salud Mental,Salud y bienestar,4.6,50000,Charnan.7,17 de enero de 2019,esta app debería estar en todos los celulares de los chilenos... le falta material didáctico pero excelente contenido.
29,Moodpath - Depression & Anxiety Test,Medicina,4.6,1000000,MindDoc Health,10 de junio de 2020,"Ayuda a conocer más tu salud mental. Puedes utilizarlo sin necesidad de tener la versión premium, sus cursos son muy buenos."
30,Serenmind: tu app de ayuda psicológica,Salud y bienestar,4.3,5000,Serenmind,16 de junio de 2020,Es una app útil si tienes ansiedad y/o depresión y no quieres o no puedes ir al psicólogo. Fácil de utilizar y con la que se consiguen buenos resultados. El plan de terapia está bien organizado y te permite trabajar un poco cada día sin agobios. Muy recomendable.
31,Test de Depresión,Medicina,3.9,100000,MoodTools,18 de abril de 2020,Me siento horible ya que no se instala y tengo mucho almencemaniento me parece muy injusto.....
32,Test de Depresión,Medicina,3.9,100000,MoodTools,18 de abril de 2020,Saque un 27 savia que esto me ayuria
33,MoodSpace - Ayuda para el estrés y la ansiedad,Medicina,4.7,100000,Boundless Labs,3 de junio de 2020,"El diseño de la aplicación sale un poco movido(?) pero me ha funcionado excelente y me encanta en general, solo es ese pequeño detallito del diseño."
34,"Control y Monitor: Ansiedad, Ánimo y Autoestima",Estilo de vida,4.6,1000000,TwoCats App,22 de mayo de 2020,"Una increíble aplicación, es bastante efectiva, te hace razonar sobre tu ánimo, y el precio por el premium es bastante bueno. Solo un pequeño defecto, en las actividades del día sobre el estado del ánimo pongan que se pueda seleccionar más de 1 actividad. Porfa"
35,"Autoestima, el verdadero amor",Estilo de vida,4.2,100000,Metta Apps,29 de abril de 2020,"La verdad que me ayudó mucho, hay que tener paciencia, pero si tenés autoestima baja te ayuda aunque sea un poco. Se las recomiendo mucho"
36,Pura Mente: Meditar es simple,Salud y bienestar,4.8,50000,Pura Mente,24 de mayo de 2020,Quedé sorprendida. Es fácil. Y el tiempo de la meditación de 10 min paso rapidísimo cuando quise acordar ya estaba terminando. Me ayudó y lo recomiendo ... La solución está en nosotros. Y la verdad que enseña q la meditación es una herramienta para nuestro estilo de vida. No es religioso ni dogmatic...Opinión completa
37,Bambú 🍃 Meditación guiada y sonidos para dormir,Salud y bienestar,4.2,10000,Rocka,1 de junio de 2020,"Muy buena. La guía para aprender a meditar permite escoger el tiempo de la sesión, eso se adapta bien, además el contenido gratuito es bueno. Pienso comprar la versión completa cuando me sea posible."
38,60 Juegos Mentales: Entrenamiento Cerebral Gratis,Preguntas y respuestas,4.0,5000000,Peoresnada.com,14 de junio de 2020,Excelente juego. Me gustó mucho Solo que no muestra las estadísticas en algunos dispositivos. Tiene alguna solución y puedo recuperarlas de los juegos ya realizados?
39,Pixels - Estados de Ánimo y Mindfulness,Estilo de vida,4.7,500000,Teo Vogel,8 de junio de 2020,es perfecta pero le falta la opción de poder guardar otros años en la nube o algo así :( estuve todo 2019 usando la app y en diciembre perdí mi celular. cuando descargue la app en mi teléfono nuevo habia perdido todo :((
40,El Psicólogo,Estilo de vida,4.3,500000,Frenys,19 de mayo de 2017,"Esta re buena.., pero arreglen lo de iniciar sesión.... Gracias!"
41,Lojong: Meditación y Mindfulness -Ansiedad +Sueño,Salud y bienestar,4.9,1000000,Unisollus,26 de mayo de 2020,"Excelente aplicación, me ayudo con mis problemas de ansiedad que en estos dias fueron intensos y aunque apenas la estoy usando me ha funcionando para relajarme, mil gracias, ya que tiene la opcion de si en estos momentos no puedes ser premium, te dan la oportunidad de ver esta sección por medio de a...Opinión completa"
42,desordenes mentales,Libros y obras de consulta,4.3,100000,Helpful Books,17 de septiembre de 2018,Una guía muy buena
43,Lojong: Meditación y Mindfulness -Ansiedad +Sueño,Salud y bienestar,4.9,1000000,Unisollus,26 de mayo de 2020,"La mejor app para meditar, lo que me gustaría que agreguen es cuando estás en una meditación que la barra de volumen que se encuentra en la parte inferior no desaparezca, y otra que al inicio el cuadro grande creo que jala muchos recursos sería mejor quitarla porque a veces no se queda en la sería d...Opinión completa"
44,Pura Mente: Meditar es simple,Salud y bienestar,4.8,50000,Pura Mente,24 de mayo de 2020,"Es muy relajante, y en realidad muy sencillo, lo mejor es que tienen voces muy calmadas que te guían pasó a paso."
45,La Mente es Maravillosa - Psicología y relaciones,Noticias y revistas,4.8,100000,Grupo MContigo,13 de junio de 2020,Me encanta leer muchisimo los articulos porque me han ayudado bastante a mi en lo personal a salir adelante .
46,"Isotonos - Relajación, Meditación, Salud",Salud y bienestar,4.5,100000,ronin2ninja,24 de diciembre de 2019,"La experiencia a sido excepcional. Con todas las opciones que tiene la aplicación, quisiera utilizarlas todas, pero la recomendación seria que cada persona revise sus prioridades. Y en cada opción mantenerla al menos 2 semanas, y en ultima utilizar 2 a la vez, una por la mañana y otra por la noche. ...Opinión completa"
47,Eleva tu Autoestima y Superación Personal,Salud y bienestar,4.7,10000,Recetas Comida Dietas y más Apps gratis ComRecApps,5 de abril de 2020,Excelente aplicacion me gusto mucho el contenido gracias
48,AtentaMente - Meditación y Felicidad,Salud y bienestar,4.4,10000,AtentaMente,29 de mayo de 2020,"Hermosas meditaciones pero la app es PÉSIMA no me carga como 3 secciones, trabajar con emociones, bondad y para tiempos difíciles. Me gustaría comunicarme con alguien porque no puedo acceder a estas meditaciones solo se queda cargando."
49,Desordenes mentales,Educación,4.5,100000,Andrey Borzenko,12 de febrero de 2019,"Es buena la información aunque si claro falta, lo que me intriga es que neta la info es de Wikipedia???? Wikipedia no es muy fiable, no es muy segura la información,. Sería mucho mejor que la fuente de información sean de investigaciónes, eso sería excelente"
50,Salud Mental,Salud y bienestar,4.6,1000,com.mexiz.app,9 de octubre de 2017,Me encanto gracias
51,PD Test - Prueba de Trastornos de la Personalidad,Salud y bienestar,4.1,10000,People ‘n Droid,20 de abril de 2020,"Emocionada fui a realizar el test luego de descargar la aplicación,pero nada se congela y no me permite hacer nada...que desalentador 😒 .."
52,Bambú 🍃 Meditación guiada y sonidos para dormir,Salud y bienestar,4.2,10000,Rocka,1 de junio de 2020,Me encanta nunca lo habia hecho probe y siento que es la solution para mi insomnio .
53,Calm: Meditación y Sueño,Salud y bienestar,4.4,10000000,"Calm.com, Inc.",11 de junio de 2020,"La versión gratuita es una farsa, tienes 7 días de prueba pero sólo habilitan el contenido del primer día. Estoy dispuesta a pagar por una prueba de un mes, pero ofrecen un único pago anual (por productos que te orientan en 7 días). Divinos los sonidos de la naturaleza pero hay aplicaciones verdader...Opinión completa"
54,Mental Health Tests,Medicina,4.1,100000,"Mind Diagnostics, Inc.",14 de mayo de 2020,No se cual es el propósito de esto. Su nombre dice diagnosis (diagnóstico) pero esto es imposible sin atención de un profesional. También me parece que deberían dar más herramientas y menos preguntas.
55,Wysa: tu entrenador de felicidad,Salud y bienestar,4.7,1000000,Touchkin,16 de junio de 2020,"Es buena la aplicación, pero lo malo es que esta en ingles y puedo copiar el texto al menos para traducirlo."
56,"Música para la meditación, para estrés y ansiedad",Salud y bienestar,4.7,100000,Dream_Studio,28 de marzo de 2020,"Hasta ahora de 10. Me gusta mucho sus melodías. Tenes para seleccionar sonidos de grillos, pájaros y tiempo. Muy tranquilizador para meditar"
57,Meditación Guiada Gratis,Salud y bienestar,4.3,10000,AbacaxiApps,21 de mayo de 2020,"Excelente app, los sonidos, las voces son maravillosas, te llevan a una relajación total... Vale la pena descargarla y compartirla. Gracias por realizar una selección minuciosa de todos los aspectos de la App"
58,Como Ser Feliz,Estilo de vida,4.6,100000,Wilson Castrillon,2 de diciembre de 2018,"Es increíble, me está ayudando muchísimo. Me siento muchísimo mejor, conmigo misma y con la vida en general. Todavía voy por el sexto tema, pero es sorprendente lo que hacen estas palabras en una persona, o al menos en mí. Lo recomiendo totalmente, si estás mirando este comentario porque estás indec...Opinión completa"
59,El Poder de la mente,Estilo de vida,4.5,100000,Emprendedora apps,20 de diciembre de 2019,Wau como la dañaron de verdad cuando yo la instale por primera vez me gusto toda la informacion que tenia ahora ya no la tiene como estaba antes estaba mejor yo la vi y dije la instalare despues y la usare para orar para la guerra espiritual y hoy la instale y no es la misma y estoy buscando otra ap...Opinión completa
60,Eleva tu Autoestima y Superación Personal,Salud y bienestar,4.7,10000,Recetas Comida Dietas y más Apps gratis ComRecApps,5 de abril de 2020,Muy buena pero ma gustaría saber cómo hacer todo esto cuando se termina una relación amorosa... Cuando el corazón y la mente hacen q el auto estima sea mucho más critico
61,PD Test - Prueba de Trastornos de la Personalidad,Salud y bienestar,4.1,10000,People ‘n Droid,20 de abril de 2020,Buenas tardesy me disculpa pero no puedo estar de acuerdo con el resultado ya que hice dos test y dieron el mismo diagnostico y era difente totalmente las respuestas del test.
62,Wysa: tu entrenador de felicidad,Salud y bienestar,4.7,1000000,Touchkin,16 de junio de 2020,"La aplicación es realmente agradable y efectiva. Es difícil para mí comunicarme con mis amigos y las demás personas, pero está aplicación brinda una experiencia muy similar a la vez que es productiva. Me ayuda a identificar mis problemas, maneras en las que debería actuar frente a ellos e incluso me...Opinión completa"
63,Test de Depresión,Medicina,3.9,100000,MoodTools,18 de abril de 2020,Es exelente 🙂 Ame esta app es muy sincera . No ocupo mucho espacio en mi celular y además después de realizar el test te recomienda sitios para mejorar la deprecion
64,Pura Mente: Meditar es simple,Salud y bienestar,4.8,50000,Pura Mente,24 de mayo de 2020,"No hay manera de registrarme me da constantemente error!! No puedo entrar a ""Soporte"" para ayuda tampoco. Es una pena! Por favor, que me recomiendan, sigo bien los pasos, pongo todos los datos y persiste el error!!"
65,Psicologia de la Depresión,Salud y bienestar,4.7,100000,Nice-Apps,30 de marzo de 2020,Muy clara accesible un gran apoyo para el familiar de un paciente gracias
66,Psicologia de la Depresión,Salud y bienestar,4.7,100000,Nice-Apps,30 de marzo de 2020,"Genial, muy educativa y explicada en una terminología sencilla."
67,"Mejor con Salud - Belleza, dieta y bienestar",Salud y bienestar,4.5,100000,Grupo MContigo,13 de junio de 2020,Muy buenos consejos de salud....me encanta la página....
68,El Psicólogo,Estilo de vida,4.3,500000,Frenys,19 de mayo de 2017,"Frases muy certeras en el desempeño como terapeuta, me gustaron varias, pero más la que hace referencia a la empatía, mucha gente no sabe ser empática."
69,Paradym: mental wellness,Salud y bienestar,4.5,1000,Paradym Beta,14 de julio de 2019,No review
70,Lojong: Meditación y Mindfulness -Ansiedad +Sueño,Salud y bienestar,4.9,1000000,Unisollus,26 de mayo de 2020,"Es la mejor aplicación que he probado. El diseño que tiene genera un acompañamiento ideal, es muy dinámica, armoniosa y sencilla. La claridad con la que describen las explicaciones y su forma de expresarse transmiten paz y motivan a continuar las prácticas. La variedad de sesiones y temáticas que ab...Opinión completa"
71,Remente - Desarrollo personal,Salud y bienestar,4.3,500000,Remente,8 de junio de 2020,"Excelente app, primera vez que la utilizo y de verdad siento que está generando cambios en mí. Tiene muchas cosas que puedes hacer, cursos, graves motivacionales, diariamente me envían correos bastante buenos la verdad. Lo que más me encanta de la aplicación son los recordatorios que asisten en las ...Opinión completa"
72,"Mejor con Salud - Belleza, dieta y bienestar",Salud y bienestar,4.5,100000,Grupo MContigo,13 de junio de 2020,"Excelentes artículos, muy interesantes y abarcan todo tipo de temas, ya sean de interés nutricional, médico, científico, etc."
73,Wysa: tu entrenador de felicidad,Salud y bienestar,4.7,1000000,Touchkin,16 de junio de 2020,"Excelente aplicación, ayuda a meditar y a dar claridad. muy buena si sufres de ansiedad y esta llena de información muy buena"
74,Medita con Petit BamBou: mindfulness y sueño,Salud y bienestar,4.7,1000000,FeelVeryBien sarl,12 de junio de 2020,"Excelente aplicación, se nota el trabajo de profesionales en la meditación, que hay atrás de esta App muchas gracias Ludovic por tomarte el tiempo de escribir y estar al pendiente de tu proyecto. la meditación es corta pero contundente, me gusta mucho. entiendo el concepto y estoy seguro que empezar...Opinión completa"
75,PSY online terapia psicologia. Сhat apoyo anónimo.,Salud y bienestar,4.3,500000,INVOLTA INC,16 de junio de 2020,"Me encanto la app, le doy 3 estrellas porque, de la nada me apareció que tengo un error de conexión, siendo que mi net esta bien y no tengo problemas de conectividad en otras apps.... subiré las estrellas si me ayudan por favor...... Ahi subi a las 5 estrellas .... gracias por la ayuda"
76,El Poder de la mente,Estilo de vida,4.5,100000,Emprendedora apps,20 de diciembre de 2019,"La verdad no se para que la actualizaron se supone que hablan del poder de la mente y ahora apuntan mas a lo financiero y ademas juegos !!! Ya aplicaciones de juegos ,Un desastre antes estaba interesante ahora noo la desinstalo !!!"
77,Salud Savia,Salud y bienestar,4.0,100000,SALUD SAVIA,5 de junio de 2020,"En fin, pensé que era una gran app pero no. No te contestan a tus dudas, dudas que se pueden responder sin necesidad de ir al hospital.. Porque no hablo de dudas de urgencia.. Y alguna más que otra un poco entonada en hablar, una vergüenza. 1 estrella y porque no puedo poner menos"
78,Serenmind: tu app de ayuda psicológica,Salud y bienestar,4.3,5000,Serenmind,16 de junio de 2020,Me parece una herramienta alucinante. Muy buen asistente para quien tenga dificultades para acceder presencialmente a un psicoterapeuta y mejor aún para complementar la terapia presencial. La inteligencia del equipo investigador que hay detrás se hace patente en la calidad de los contenidos. Recomie...Opinión completa
79,PNL práctico,Estilo de vida,4.3,100000,Metta Apps,3 de mayo de 2020,El audio 11 tecnica del chasquido 1 y 2 wl audio se corta y perdes parte del ejercicio
80,AtentaMente - Meditación y Felicidad,Salud y bienestar,4.4,10000,AtentaMente,29 de mayo de 2020,"La aplicación lleva dando fallos meses, ahora ni siquiera me permite el acceso. Una pena porque llevo con ella al menos dos años! Intentaré desinstalarla y volverla a instalar."
81,Moodpath - Depression & Anxiety Test,Medicina,4.6,1000000,MindDoc Health,10 de junio de 2020,Es muy buena aplicación. Excelente. Es fácil de usar y tiene muchas preguntas que te ayudan a entender más sobre tí. La recomiendo mucho. La versión gratuita tiene lo suficiente para ayudarte y darte evaluaciones de tu salud mental. La versión Premium parece tener más recursos sobre cómo cambiar los...Opinión completa
82,El Poder de la mente,Estilo de vida,4.5,100000,Emprendedora apps,20 de diciembre de 2019,"Gauuu, que buena aplicación. Amo los temas de autosuperación, autoayuda, física cuántica, etc. Esta aplicación aborda este tipo de temática, abordando items, como ley de atracción, como influye tu mente, exito y decenas de items, de forma corta pero precisa, con conceptos con mucho fundamento. Yo la...Opinión completa"
83,Meditación Guiada Gratis,Salud y bienestar,4.3,10000,AbacaxiApps,21 de mayo de 2020,"Me encantó esta aplicación, porque me gusta meditar, me ayuda en mi día a día a enfrentar las cosas que se presentan a dar las gracias por lo que tengo y por lo que vendrá, me encantó porque es completa, correcta y te llena de paz y tranquilidad La recomiendo para todos de todas las edades porque es...Opinión completa"
84,Remente - Desarrollo personal,Salud y bienestar,4.3,500000,Remente,8 de junio de 2020,"Es una excelente aplicación para hacer un seguimiento de tus pensamientos diarios, cosa que te ayuda enormemente con tu crecimiento personal, bastante atractiva visualmente y muy intuitiva de utilizar, en mi caso 5 estrellas queda corto ( recuerden que la aplicación no es Mágica, funciona porque ust...Opinión completa"
85,Pura Mente: Meditar es simple,Salud y bienestar,4.8,50000,Pura Mente,24 de mayo de 2020,"Magnifico!! Ayuda mucho a relajarse,,,tanto q a veces me quedo hasta dormida,,,la voz de la chica muy dulce, lo recomiendo!"
86,Test de Depresión,Medicina,3.9,100000,MoodTools,18 de abril de 2020,ya no funcionan ninguno de los links o numero de telefono
87,Pixels - Estados de Ánimo y Mindfulness,Estilo de vida,4.7,500000,Teo Vogel,8 de junio de 2020,"Muy buena aplicación la recomiendo, me gusta que se pueda hacer una copia de seguridad fácilmente y luego exportala cuando quieras. Ya casi termino el año"
88,Eleva tu Autoestima y Superación Personal,Salud y bienestar,4.7,10000,Recetas Comida Dietas y más Apps gratis ComRecApps,5 de abril de 2020,"Cada libro es un tesoro pero este es más aún. Me ha ayudado mucho felicidades a la autora ,sigan sacando mas material como este,en serio he disfrutado mucho del contenido"
89,"Autoestima, el verdadero amor",Estilo de vida,4.2,100000,Metta Apps,29 de abril de 2020,Gran app la verdad esque ase mucho que no sentia nada y solo empesaba a sentir que no importaba y que en cualquier momento moriria sin inportarle a nadie pero aprendi a que amarse y encontrarse co sigo mismo es lo que ase ver que a alguien le importas y te valora y es solo a ti mismo que gran app de...Opinión completa
90,Ejercicios para el cerebro,Entretenimiento,4.5,100000,ABC Programming,7 de abril de 2020,"Todos los juegos están bien desarrollados. Sólo tengo dificultad con Pasatiempo, no puedo cumplir la consigna: arrastro las imágenes para ubicarlas, pero vuelven al lugar original. Evidentemente, debo estar haciendo algo mal, pero no me doy cuenta de qué es."
91,"Isotonos - Relajación, Meditación, Salud",Salud y bienestar,4.5,100000,ronin2ninja,24 de diciembre de 2019,"Hay algunos isotonos que no suenan y otros que se detienen súbitamente y al cabo de unos segundos sigue, lo cual es molesto. Por lo demás, bien. No son ni milagrosos ni mágicos ni lo pretenden, pero ayudan. El Nirvana - Dormir es mi favorito para dormir. Epsilon y Chakra del amor para meditar. Hay m...Opinión completa"
92,Ser feliz Reto 30 días,Estilo de vida,4.0,100000,Metta Apps,29 de abril de 2020,"Me encanta la app, me ha ayudado a coordinarme más con cosas que antes era muy dispersa 🥰🥰🥰🥰🥰🥰"
93,Smylife - Felicidad diaria,Salud y bienestar,4.3,10000,Smylife SAS,23 de noviembre de 2017,"Oye esta app es justo lo que buscaba, ahora les pido una mejora, mucho más vida y colores más bonitos actualicenla por favor, si debo de pagar esta bien"
94,"Psicólogos Online, Diario emocional y Mindfulness",Salud y bienestar,4.3,100000,ifeel,1 de junio de 2020,"La aplicación está muy bien y van mejorando cositas. Las dos psicólogas que me han tratado se ven profesionales y muy dedicadas en su trabajo. Les agradezco sus intentos de ayudarme. También debo decir que supongo que cada caso es un mundo, pero para progresar de verdad también se necesitan meses o ...Opinión completa"
95,Ansiedad y estrés,Salud y bienestar,4.0,100000,Metta Apps,2 de mayo de 2020,"No se escuchan los audios, no me cargan porque será???"
96,Salud Mental,Salud y bienestar,4.6,50000,Charnan.7,17 de enero de 2019,"Es una app realmente buena, pero aún le queda un largo camino por recorrer. Felicidades a los creadores y mis mejores deseos."
97,Cíngulo: Terapia Guiada,Salud y bienestar,4.9,1000000,Cíngulo,17 de junio de 2020,"Que lindooo. Lastima que no tenga traduccion! No puedo usarla, sovre todo porque son audios. Espero tener acceso algun dia!"
98,Diario de animo y preguntas (anti depresión),Estilo de vida,4.3,500000,Reflexio Team,31 de mayo de 2020,"Esta aplicacion es excelente, incluso en su version gratuita, solo con no tener anuncios ya vale la pena, apenas la he probado y ya he comprado la version Premium, no entiendo como se queja la gente de que no sea gratis cuando ronda los 3€ y es un pago único. Encantada de colaborar para que podais s...Opinión completa"
99,El Psicólogo,Estilo de vida,4.3,500000,Frenys,19 de mayo de 2017,Es La Mejor Aplicación Psicólogo Ayuda Muchisimo Es Total Mente Genila Me Encanta Ayuda A Que Reflexionemos
100,Ser feliz Reto 30 días,Estilo de vida,4.0,100000,Metta Apps,29 de abril de 2020,"Me gusta mucho la app, pero al escuchar la meditación cuando se apaga la pantalla ( 10 min como max en mi tlf) se corta, ¿como podrían solucionar esto?"
101,Meditación Guiada Gratis,Salud y bienestar,4.3,10000,AbacaxiApps,21 de mayo de 2020,La mejor aplicación gratis que encuentras
102,El Psicólogo,Estilo de vida,4.3,500000,Frenys,19 de mayo de 2017,Los anuncios son los unico que no me dejan pero después lo demas está todo bien
103,Bambú 🍃 Meditación guiada y sonidos para dormir,Salud y bienestar,4.2,10000,Rocka,1 de junio de 2020,"Excelente, intuitiva y con muchas opciones. La mejor app que tengo en mi celular."
104,PNL práctico,Estilo de vida,4.3,100000,Metta Apps,3 de mayo de 2020,"Es una excelente aplicación, es una guía impresionante para los que recién ingresan en este mundo. Solo agregaría algo como parar hacer copias de seguridad, para poder guardar la info si cambias de teléfono."
105,Fabulous: ¡Motívame!,Salud y bienestar,4.5,5000000,TheFabulous,4 de mayo de 2020,"Me ha ayudado mucho en este tiempo de cuarentena, inicias con hábitos sencillos y poco a poco se van haciendo una rutina muy completa. No le doy 5 estrellas porque hay algunas partes mal traducidas, porque a veces se buggea con los recordatorios y porque me adelanta las acciones del día siguiente po...Opinión completa"
106,Inteligencia emocional gratis,Salud y bienestar,4.4,10000,"Bible Studies, Embarazo y Dietas Free Libres",12 de mayo de 2020,Me gusto mucho me gustaría q tuviera una opción más fa fácil para compartir la aplicación
